CELL_LINE_NAME,TISSUE_TYPE
A253,aero_dig_tract
BB30-HNC,aero_dig_tract
BB49-HNC,aero_dig_tract
BHY,aero_dig_tract
BICR10,aero_dig_tract
BICR22,aero_dig_tract
BICR31,aero_dig_tract
BICR78,aero_dig_tract
CA9-22,aero_dig_tract
CAL-27,aero_dig_tract
CAL-33,aero_dig_tract
DETROIT562,aero_dig_tract
DOK,aero_dig_tract
FADU,aero_dig_tract
H3118,aero_dig_tract
HN,aero_dig_tract
HO-1-N-1,aero_dig_tract
HO-1-U-1,aero_dig_tract
HSC-2,aero_dig_tract
HSC-3,aero_dig_tract
HSC-4,aero_dig_tract
JHU-011,aero_dig_tract
JHU-022,aero_dig_tract
KON,aero_dig_tract
KOSC-2,aero_dig_tract
LB771-HNC,aero_dig_tract
OSC-19,aero_dig_tract
OSC-20,aero_dig_tract
PCI-15A,aero_dig_tract
PCI-30,aero_dig_tract
PCI-38,aero_dig_tract
PCI-4B,aero_dig_tract
PCI-6A,aero_dig_tract
PE/CA-PJ15,aero_dig_tract
RPMI-2650,aero_dig_tract
SAS,aero_dig_tract
SAT,aero_dig_tract
SCC-15,aero_dig_tract
SCC-25,aero_dig_tract
SCC-4,aero_dig_tract
SCC-9,aero_dig_tract
SKN-3,aero_dig_tract
COLO-680N,aero_dig_tract
EC-GI-10,aero_dig_tract
ESO26,aero_dig_tract
ESO51,aero_dig_tract
FLO-1,aero_dig_tract
HCE-4,aero_dig_tract
KYAE-1,aero_dig_tract
KYSE-140,aero_dig_tract
KYSE-150,aero_dig_tract
KYSE-180,aero_dig_tract
KYSE-220,aero_dig_tract
KYSE-270,aero_dig_tract
KYSE-410,aero_dig_tract
KYSE-450,aero_dig_tract
KYSE-50,aero_dig_tract
KYSE-510,aero_dig_tract
KYSE-520,aero_dig_tract
KYSE-70,aero_dig_tract
OACM5-1,aero_dig_tract
OACP4C,aero_dig_tract
OE19,aero_dig_tract
OE21,aero_dig_tract
OE33,aero_dig_tract
SK-GT-4,aero_dig_tract
TE-1,aero_dig_tract
TE-10,aero_dig_tract
TE-11,aero_dig_tract
TE-12,aero_dig_tract
TE-15,aero_dig_tract
TE-4,aero_dig_tract
TE-5,aero_dig_tract
TE-6,aero_dig_tract
TE-8,aero_dig_tract
TE-9,aero_dig_tract
T-T,aero_dig_tract
CESS,leukemia
CTV-1,leukemia
GDM-1,leukemia
HEL,leukemia
HL-60,leukemia
KASUMI-1,leukemia
KG-1,leukemia
KMOE-2,leukemia
ME-1,leukemia
ML-2,leukemia
MOLM-13,leukemia
MONO-MAC-6,leukemia
NKM-1,leukemia
NOMO-1,leukemia
OCI-AML2,leukemia
OCI-AML3,leukemia
OCI-AML5,leukemia
OCI-M1,leukemia
P31-FUJ,leukemia
PL-21,leukemia
QIMR-WIL,leukemia
SIG-M5,leukemia
THP-1,leukemia
KARPAS-299,lymphoma
SU-DHL-1,lymphoma
SUP-M2,lymphoma
BALL-1,leukemia
KARPAS-231,leukemia
KOPN-8,leukemia
MHH-CALL-2,leukemia
MHH-PREB-1,leukemia
MN-60,leukemia
