molecule_chembl_id,pref_name,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,synonyms
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.41,1.78,1.0,8.0,106.95,4.0,CP-122991|Prazosin|Prazosin|Prazosin|Prazosin|Prazosin|Prazosina|Prazosine
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,162.24,1.85,0.0,2.0,16.13,1.0,Habitrol|Nicabate|Nicoderm cq|Nicopass|Nicopatch|Nicorette invisi|Nicotine|Nicotine|Nicotine|Nicotine|Nicotine|Nicotine|Nicotine|Nicotinell classic|Nicotinell support|Nicotinell tts 10|Nicotinell tts 20|Nicotinell tts 30|Nicotrol|Nicotrol inhaler|Nicotrol ns|Niquitin|Niquitin clr|Niquitin minis cherry|Niquitin minis mint|Niquitin minis orange|Niquitin mint|Niquitin pre-quit|Niquitin strips mint|Prostep|Stoppers|Stubit
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,1.54,1.0,6.0,75.01,2.0,DL-8280|Exocin|Floxin|Floxin otic|HOE 280|HOE-280|J01MA01|NSC-727071|NSC-758178|Ocuflox|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacin|Ofloxacine|Ofloxacino|Tarivid|Tarivid 400|Tarivid i.v.|Visiren
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.24,1.42,1.0,4.0,72.19,2.0,"Acide nalidixique|Acido nalidixico|Mictral|Nalidixane|Nalidixate|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalidixic acid|Nalix|Neg gram|Neggram|Negram|NSC-82174|Uriben|Uroneg|WIN 18,320|WIN-18320"
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,3.93,1.0,4.0,68.53,4.0,Aconip|Artracin|Artracin sr|Berlind 75 ret|Durametacin|Flexin-25 continus|Flexin-50 continus|Flexin-75 continus|Imbrilon|Indocid-r|Indocid ret|Indocin|Indocin sr|Indoderm|Indoflex|Indolar|Indolar sr|Indo-lemmon|Indomax-25|Indomax-75 sr|Indometacin|Indometacin|Indometacin|Indometacin|Indometacin|Indometacin|Indometacin|Indometacina|Indometacine|Indometacin farnesil|Indometacinum|Indomethacin|Indomethacin|Indomethacin|Indomethacin|Indomethacin|Indomethacin|Indomod|Indo-paed|Indoptol|Indotard mr 75|Ledmecin|Maximet sr|Mobilan|NSC-757061|NSC-77541|Pardelprin mr|Reumacide|Rheumacin la|Rimacid|Slo-indo|Tivorbex
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.24,-0.79,1.0,4.0,91.75,1.0,CP-458992|NSC-759886|Sulbactam|Sulbactam|Sulbactam|Sulbactam|Sulbactam|Sulbactam
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.30,-1.52,1.0,7.0,122.46,3.0,"CL 298,741|CL-298741|NSC-759887|Tazobactam|Tazobactam|Tazobactam|Tazobactam|Tazobactam|Tazobactam|Tazobactam|Tazobactam|YTR-830H"
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,1.58,2.0,5.0,74.57,3.0,BAY O 9867 FREE BASE|BAY-O-9867 FREE BASE|BAY Q 3939|BAY-Q-3939|BAYQ3939|Cetraxal|Cipro|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin|Ciprofloxacin component of ciprodex|Ciprofloxacine|Ciprofloxacino|Ciprofloxacinum|NSC-758467|Otiprio|Velmonit
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,1.27,2.0,5.0,74.57,3.0,Baccidal|Chibroxin|MK-366|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacin|Norfloxacine|Norfloxacino|Noroxin|NSC-757250|Quinabic|Utinor
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,135.21,1.58,1.0,1.0,26.02,2.0,"Adzenys er|Adzenys xr-odt|Amfetamin|Amfetamine|Amfetamine|Amfetamine|Amphetamine|Amphetamine|Amphetamine|Amphetamine, dl-|Amphetamine resin complex|Anfetamina|Dyanavel|Dyanavel xr|Mydayis (mixed salts of a single entity)|Norephedrane|NSC-27159"
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.14,-1.06,0.0,8.0,123.20,4.0,"Angitak|C01DA08|Carvasin|Cedocard|Cedocard-10|Cedocard-20|Cedocard-40|Cedocard-5|Cedocard ret|Dilatrate|Dilatrate-sr|Diluted isosorbide dinitrate|Diluted-isosorbide dinitrate|Diluted isosorbide dinitrate rs|Dinitrate d'isosorbide|Dinitrato de isosorbida|Imtack|Isocard|Isoket 10|Isoket 20|Isoket 5|Isoket ret 20|Isoket ret 40|Iso mack|Isomannide dinitrate|Isomannide-dinitrate|Isordil|Isordil tembids|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate|Isosorbide dinitrate component of bidil|Isosorbide dinitrate, diluted|Isosorbide dinitrate, diluted-|Isosorbidi dinitras dilutes|Isosorbidi dinitras dilutus|Jeridin|NSC-80038|Soni-slo|Sorbichew|Sorbid-20 sa|Sorbid-40 sa|Sorbide nitrate|Sorbidilat|Sorbid sa|Sorbitrate|Vascardin"
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,3.08,0.0,2.0,6.48,0.0,J16.389I|Mianserin|Mianserin|Mianserin|Mianserin|Mianserin|Mianserina|Mianserine|Tolvon
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,3.88,0.0,2.0,6.48,4.0,"Antideprin|Berkomine|Cristalia|Imipramina|Imipramine|Imipramine|Imipramine|Imipramine|Melipramine|NSC-169866|ORG-2463|Sermonil|Trimipramine maleate impurity, imipramine-"
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,2.08,2.0,4.0,92.50,3.0,Arifon|Bajaten|Cardide sr|Damide|Ethibide xl|Flubest|Fludex|Fludin|Flupamid|Indaflex|Indamide|Indamol|Indapamida|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide|Indapamide component of br-1015|Indaxa 2.5|Indipam xl|Ipamix|KYD-041|Lorvas|Lozol|Mapemid xl|Natrilix|Natrilix sr|Natrix|Nindaxa 2.5|Noranat|NSC-757075|Opumide 2.5|Rawel xl|S-1520|SE-1520|Tandix|Tensaid xl|Tertensif|Varbim xl|Veroxil
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.29,1.77,0.0,5.0,64.43,2.0,Anexate|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazenil|Flumazepil|Lanexat|Mazicon|NSC-759193|RO-15-1788|RO-151788|RO 15-1788/000|RO-15-1788/000|RO-151788000|RO-1722|RO-41-8157|Romazicon
CHEMBL408,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.55,4.37,2.0,6.0,84.86,5.0,CI-991|CS-045|GR-92132X|GR92132X|Prelay|Rezulin|Romozin|Troglitazona|Troglitazone|Troglitazone|Troglitazone|Troglitazone|Troglitazone|Troglitazone|Troglitazone|Troglitazone|Troglitazone
CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,2.88,2.0,5.0,107.26,5.0,"Bicalutamida|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Bicalutamide|Calutide|Casodex|Cosudex|ICI 176,334|ICI-176334|ICI176,334-1|Kalumid|NSC-759816"
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,3.15,0.0,2.0,32.67,1.0,Alupram 10|Alupram 2|Alupram 5|Ansiolisina|Apozepam|Atensine|Centrazepam|Diacepin|Dialar|Dialar fte|Diastat|Diastat acudial|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam|Diazepam civ|Diazepam intensol|Dizac|E-pam|LA III|LA-III|Libervant|Libervant|Nrl-1|NRL-1|NSC-169897|NSC-77518|Paxel|Q-pam|Relanium|RO 5-2807|RO-5-2807|RO-52807|Scriptopam|Serenack|Servizepam|Solis|Stesolid|Tensium|Tranimul|Tranquase|Valclair|Valium|Valrelease|Valtoco|Vivol|WY-3467
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,1.61,2.0,4.0,50.72,9.0,Beatrolol|CGP-2175|Dl-metoprolol|H-93/26|Lopressidone|Metoprolol|Metoprolol|Metoprolol|Metoprolol|Metoprolol|Metoprolol|Metoprolol slow release|(rs)-metoprolol|Seroken
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.36,4.83,2.0,2.0,40.46,4.0,Apstil|Diethylstilbestrol|Diethylstilbestrol|Diethylstilbestrol|Diethylstilbestrol|Diethylstilbestrol|Diethylstilbestrol|Diethylstilbestrol|Dietilestilbestrol|Distilbene|NSC-3070|Stilbestro|Stilbestrol|Stilbetin|Stilboesterol|Tampovagan
CHEMBL267936,MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,167.30,2.42,1.0,1.0,12.03,1.0,Mecamilamina|Mecamylamine|Mecamylamine|Mecamylamine|Mecamylamine
CHEMBL14,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],182.65,-0.21,1.0,2.0,52.32,3.0,Carbachol|Carbachol|Carbachol|Carbachol|Carbachol|Carbachol|Carbachol|Carbachol chloride|Carbacol|Carbastat|Doryl|Miostat|NSC-32865
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,1.77,2.0,2.0,58.20,2.0,Dilabid|Dilantin|Dilantin-125|Dilantin-30|Diphenylhydantoin|Epamin|Fenitoina|Hydantol|Lepitoin|NSC-8722|Phentytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|Phenytoin|PHENYTOIN COMPONENT OF SM-88|Phenytoine|Phenytoinum|Zentropil
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.19,6.18,3.0,13.0,195.43,6.0,AY-22989|Fyarro|Fyarro|Hyftor|Hyftor|L04AA10|Npc-12g|NSC-226080|Rapalimus|Rapamune|(-)-rapamycin|Rapamycin|Rapamycin|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus|Sirolimus component of nab-rapamycin  rapamycin|SIROLIMUS COMPONENT OF SM-88|WY-090217
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.03,4.64,3.0,12.0,178.36,7.0,"104987-11-3|Anhydrous tacrolimus|Fujimycin|Prograph|Tacro|Tacrolimus anhydrous|Tacrolimus, anhydrous|Tsukubaenolide"
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.53,0.0,2.0,6.48,4.0,3-chloro-iminodibenzyl|Anapramine|Chlorimipramine|Clomicalm|Clomipramina|Clomipramine|Clomipramine|Clomipramine|Clomipramine|Clomipramine|NSC-169865
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,216.19,2.55,0.0,4.0,52.58,1.0,8-methoxsalen|8-mop|Deltasoralen|Meladinine|Methoxsalen|Methoxsalen|Methoxsalen|Methoxsalen|Methoxsalen|Methoxsalen|METHOXSALEN COMPONENT OF SM-88|Metoxalen|NSC-45923|Oxsoralen|Oxsoralen-ultra|Oxypsoralen|Puvalen|Puvasoralen-8|Uvadex|Vitpso
CHEMBL17,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16,0.29,2.0,4.0,120.32,2.0,Daranide|Dichlorphenamide|Dichlorphenamide|Dichlorphenamide|Diclofenamida|Diclofenamide|Diclofenamide|Diclofenamide|Diclofenamide|Keveyis|Oratrol
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,1.34,1.0,5.0,82.28,3.0,Cardrase|Ethamide|Ethoxzolamide|NSC-10679
CHEMBL417,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,543.53,0.00,6.0,12.0,206.07,5.0,4'-epi-adriamycin|Epiadriamycin|Epidoxorubicin|Epirubicin|Epirubicin|Epirubicin|Epirubicin|Epirubicin|Epirubicina|Epirubicine|Farmorubicin|NSC-256942
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,-1.42,1.0,6.0,107.41,1.0,L-584601|Metazolamida|Methazolamide|Methazolamide|Methazolamide|Methazolamide|Methazolamide|Methazolamide|Methazolamide|Methenamide|Neptazane|Neptazaneat|NSC-758426|VVP-808|VVP808
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,2.0,6.0,115.04,2.0,Acetamox|Acetazolamida|Acetazolamide|Acetazolamide|Acetazolamide|Acetazolamide|Acetazolamide|Acetazolamide|Acetazolamide|Acetazolamidum|Atenezo|Defiltran|Diamox|Diamox sr|Didoc|Diuriwas|Donmox|Edemox|Eytazox|Glaupax|L 579486|Nephramide|NSC-145177|Phonurit
CHEMBL419,MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,186.24,-0.21,2.0,3.0,86.18,2.0,4-homosulfanilamide|D06BA03|Mafenida|Mafenide|Mafenide|Mafenide|Mafenide|Mafenide|Mafenide|Mafenide|NSC-34632|Sulfamylon
CHEMBL21,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,172.21,-0.08,2.0,3.0,86.18,1.0,Aniline-p-sulfonic amide|Avc|NSC-7618|P-aminobenzenesulfamide|P-aminobenzenesulfonamide|Prontosil i|Prontylin|Streptocid|Sulfamine|Sulfanilamida|Sulfanilamide|Sulfanilamide|Sulfanilamide|Sulfanilamide|Sulfonamide|Sulphanilamidum
CHEMBL420,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,231.09,1.81,3.0,2.0,74.26,2.0,Guanabenz|Guanabenz|Guanabenz|Guanabenz|Guanabenzo|NSC-68982|WY-8678
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,1.26,2.0,7.0,105.51,5.0,BW 56-72|BW-56-72|Infectotrimet|Ipral|Ledatrim|Monotrim|NIH-204|NSC-106568|Proloprim|Proloprin|Syraprim|TCMDC-125538|Tiempe|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim|Trimethoprim component of bactrim|Trimethoprim component of bactrim ds|Trimethoprim component of bactrim pediatric|Trimethoprim component of cotrim|Trimethoprim component of cotrim d.s.|Trimethoprim component of co-trimoxazole|Trimethoprim component of septra|Trimethoprim component of sulfamethoprim|Trimethoprim component of sulfatrim|Trimethoprim component of sulmeprim|Trimethoprim component of uroplus|Trimethoprime|Trimethoprimum|Trimetoprima|Trimogal|Trimopan|Trimpex|Trimpex 200|Triprimix 200|Wellcoprim
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.61,5.09,0.0,6.0,63.95,13.0,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil|Verapamil|Verapamil|Verapamil|Verapamil|Verapamilo|Verapamil slow release"
