DRUG_NAME,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
PRAZOSIN,O=C(c1ccco1)N1CCN(c2ncc3ccccc3n2)CC1,True,False,False
NICOTINE,c1cncc([C@@H]2CCCN2)c1,False,False,False
OFLOXACIN,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,True,False,False
NALIDIXIC ACID,O=c1cc[nH]c2ncccc12,True,False,False
INDOMETHACIN,O=C(c1ccccc1)n1ccc2ccccc21,True,False,False
SULBACTAM,O=C1C[C@@H]2N1CCS2(=O)=O,True,False,False
TAZOBACTAM,O=C1C[C@@H]2N1CC(Cn1ccnn1)S2(=O)=O,False,False,False
CIPROFLOXACIN,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,False,False
NORFLOXACIN,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,True,False,False
AMPHETAMINE,c1ccccc1,False,False,False
ISOSORBIDE DINITRATE,C1C[C@H]2OCC[C@H]2O1,True,False,False
MIANSERIN,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,True,False,False
IMIPRAMINE,c1ccc2c(c1)CCc1ccccc1N2,True,False,False
INDAPAMIDE,O=C(NN1CCc2ccccc21)c1ccccc1,True,False,False
FLUMAZENIL,O=C1NCc2cncn2-c2ccccc21,True,False,False
TROGLITAZONE,O=C1NC(=O)C(Cc2ccc(OCC3CCc4ccccc4O3)cc2)S1,True,False,False
BICALUTAMIDE,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,True,True,True
DIAZEPAM,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
METOPROLOL,c1ccccc1,False,False,False
DIETHYLSTILBESTROL,C(=Cc1ccccc1)c1ccccc1,True,False,False
MECAMYLAMINE,C1CC2CCC1C2,True,False,False
CARBACHOL,,True,False,False
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,True,False,False
SIROLIMUS,O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2,True,False,False
TACROLIMUS ANHYDROUS,O=C1CC=CCCCC[C@@H]2CCCC(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C=C/C2CCCCC2)CCC1,False,False,False
CLOMIPRAMINE,c1ccc2c(c1)CCc1ccccc1N2,True,False,False
METHOXSALEN,O=c1ccc2cc3ccoc3cc2o1,True,False,False
DICHLORPHENAMIDE,c1ccccc1,True,False,False
ETHOXZOLAMIDE,c1ccc2scnc2c1,False,False,False
EPIRUBICIN,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,False,True,False
METHAZOLAMIDE,N=c1[nH]ncs1,True,False,False
ACETAZOLAMIDE,c1nncs1,True,False,False
MAFENIDE,c1ccccc1,False,False,False
SULFANILAMIDE,c1ccccc1,True,False,False
GUANABENZ,c1ccccc1,False,False,False
TRIMETHOPRIM,c1ccc(Cc2cncnc2)cc1,True,False,False
VERAPAMIL,c1ccc(CCCCNCCc2ccccc2)cc1,True,False,False
SULFASALAZINE,O=S(=O)(Nc1ccccn1)c1ccc(/N=N/c2ccccc2)cc1,True,False,False
COUMARIN,O=c1ccc2ccccc2o1,False,False,False
DILTIAZEM,O=C1C[C@H](c2ccccc2)Sc2ccccc2N1,True,False,False
ATENOLOL,c1ccccc1,True,False,False
ASPIRIN,c1ccccc1,True,False,False
TRIFLUOPERAZINE,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,True,False,False
BETAXOLOL,c1ccc(CCOCC2CC2)cc1,True,False,False
OLSALAZINE,c1ccc(/N=N/c2ccccc2)cc1,False,False,False
PROPRANOLOL,c1ccc2ccccc2c1,False,False,False
PRACTOLOL,c1ccccc1,False,False,False
MECHLORETHAMINE,,True,False,False
PENICILLIN G,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,False,False,False
TROVAFLOXACIN,O=c1ccn(-c2ccccc2)c2nc(N3C[C@H]4C[C@H]4C3)ccc12,False,False,False
CIMETIDINE,c1c[nH]cn1,True,False,False
GATIFLOXACIN,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,False,False
LABETALOL,c1ccc(CCCNCCc2ccccc2)cc1,False,False,False
MOXIFLOXACIN,O=c1ccn(C2CC2)c2cc(N3C[C@@H]4CCCN[C@@H]4C3)ccc12,False,False,False
LEVOFLOXACIN ANHYDROUS,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,False,False,False
GEMIFLOXACIN,N=C1CCN(c2ccc3c(=O)ccn(C4CC4)c3n2)C1,False,False,False
