SCAFFOLD,N_DRUGS,N_SYNERGISTIC,N_NON_SYN,ODDS_RATIO,PVAL,FDR_BH,SIGNIFICANT
C1=CC2CC[C@@H]3Nc4ccc(C5C[C@H]6CCCN(CCc7c5[nH]c5cc,2,2,0,inf,0.01724,0.6658968,False
O=C(CCc1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@,2,2,0,inf,0.01724,0.6658968,False
O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,2,2,0,inf,0.01724,0.6658968,False
c1ccc(Nc2ncnc3ccccc23)cc1,2,2,0,inf,0.01724,0.6658968,False
C1=CC2CC[C@@H]3Nc4ccc(C5C[C@@H]6CCCN(CCc7c5[nH]c5c,2,2,0,inf,0.01724,0.6658968,False
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,2,2,0,inf,0.01724,0.6658968,False
O=c1ncccn1[C@@H]1CSCO1,2,2,0,inf,0.01724,0.6658968,False
O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCC,3,2,1,13.2715,0.047206,0.6658968,False
O=c1ncccn1[C@H]1CCCO1,4,2,2,6.6336,0.086268,0.6658968,False
c1ccc(Cc2ccccc2)cc1,9,3,6,3.3197,0.103321,0.6658968,False
c1c[nH]cn1,9,3,6,3.3197,0.103321,0.6658968,False
O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2cnccn2)cc1,1,1,0,inf,0.131427,0.6658968,False
c1ncc2cn[nH]c2n1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2cnc3ncncc3n2)cc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2ccnn2-c2ccccc2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1ccncc1)c1cccc(OCC2CC2)c1,1,1,0,inf,0.131427,0.6658968,False
O=C1C=CC(=O)c2ccccc21,1,1,0,inf,0.131427,0.6658968,False
C1=Cc2ccccc2/C1=C\c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
S=c1[nH]cnc2nc[nH]c12,1,1,0,inf,0.131427,0.6658968,False
O=C1CCS(=O)(=O)C(c2ccccc2)N1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2ccc(Cn3cnc4ccc(-c5nc6ccccc6[nH]5)cc43)cc2,1,1,0,inf,0.131427,0.6658968,False
O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4,1,1,0,inf,0.131427,0.6658968,False
O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1,1,1,0,inf,0.131427,0.6658968,False
O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,1,1,0,inf,0.131427,0.6658968,False
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,1,1,0,inf,0.131427,0.6658968,False
c1ncc(NC2=NCCN2)cn1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(CCc2cnc3ncncc3n2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1CCCCCCC2O[C@H]2C[C@@H](C=Cc2cscn2)NC(=O)CCC1,1,1,0,inf,0.131427,0.6658968,False
c1ncncn1,1,1,0,inf,0.131427,0.6658968,False
O=C1C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CC,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1ccccc1)OCc1ccc2ccccc2c1,1,1,0,inf,0.131427,0.6658968,False
O=C(c1ccccc1)c1c[nH]c2ncc(-c3ccccc3)cc12,1,1,0,inf,0.131427,0.6658968,False
O=C1c2cc3ccc(O[C@H]4C[C@@H](O[C@@H]5CCCCO5)CCO4)cc,1,1,0,inf,0.131427,0.6658968,False
O=C1C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CC,1,1,0,inf,0.131427,0.6658968,False
c1ccc(C(c2ccccc2)n2cncn2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1C=CC2[C@H]3CCC4[C@@H](C(=O)Nc5ccccc5)CC[C@H]4[,1,1,0,inf,0.131427,0.6658968,False
O=C(c1ccccc1)c1ccc[nH]1,1,1,0,inf,0.131427,0.6658968,False
O=C(CC[NH+]1CCc2ccccc2C1Cc1ccccc1)OCCCCCOC(=O)CC[N,1,1,0,inf,0.131427,0.6658968,False
C=C1CC2[C@@H](CC[C@H]3[C@@H]4CCCC4CC[C@H]23)CC1=O,1,1,0,inf,0.131427,0.6658968,False
O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,1,1,0,inf,0.131427,0.6658968,False
C1=CC(c2cccc3nonc23)C=CN1,1,1,0,inf,0.131427,0.6658968,False
O=C1OC[C@H]2[C@H]1[C@H](c1ccccc1)c1cc3c(cc1[C@H]2O,1,1,0,inf,0.131427,0.6658968,False
O=C1OC[C@H]2[C@H]1[C@H](c1ccccc1)c1cc3c(cc1[C@H]2O,1,1,0,inf,0.131427,0.6658968,False
O=c1[nH]nnc2cncn12,1,1,0,inf,0.131427,0.6658968,False
c1ccc(NCc2cnc3ncncc3n2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1c2ccccc2NCN1c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
C(=C/c1ccc2ccccc2n1)\c1cccc([C@@H](CCc2ccccc2)SCC2,1,1,0,inf,0.131427,0.6658968,False
O=C1NCC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c,1,1,0,inf,0.131427,0.6658968,False
c1cc[nH+]cc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2cncnn2)cc1,1,1,0,inf,0.131427,0.6658968,False
S=c1[nH]cnc2[nH]cnc12,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n,1,1,0,inf,0.131427,0.6658968,False
c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,1,1,0,inf,0.131427,0.6658968,False
c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,1,1,0,inf,0.131427,0.6658968,False
O=C(CNC(=O)NCc1cscn1)N[C@H](CC[C@H](Cc1ccccc1)NC(=,1,1,0,inf,0.131427,0.6658968,False
c1ccc(/N=c2\nc[nH]c3cc(OCC4CCNCC4)ccc23)cc1,1,1,0,inf,0.131427,0.6658968,False
c1cncnc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc2[nH]c(-c3cscn3)nc2c1,1,1,0,inf,0.131427,0.6658968,False
O=C(CC(=O)c1ccccc1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1.c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,1,1,0,inf,0.131427,0.6658968,False
C=C1C[C@@H]2[C@H](CCC3C(=O)CC[C@H]32)C2C=CC(=O)C=C,1,1,0,inf,0.131427,0.6658968,False
O=C(CCCN1CCC(OC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc2c(c1)Cc1cccnc1N1CCNCC21,1,1,0,inf,0.131427,0.6658968,False
C1CNCCN1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC,1,1,0,inf,0.131427,0.6658968,False
c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1NCCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3CCS[C@H],1,1,0,inf,0.131427,0.6658968,False
c1ccc2nn(-c3ccc([C@@H]4CCCNC4)cc3)cc2c1,1,1,0,inf,0.131427,0.6658968,False
O=C(C1COc2ccccc2O1)N1CCN(c2ncc3ccccc3n2)CC1,1,1,0,inf,0.131427,0.6658968,False
S=P(N1CC1)(N1CC1)N1CC1,1,1,0,inf,0.131427,0.6658968,False
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C(OC(=O)c3ccco3)CC[C,1,1,0,inf,0.131427,0.6658968,False
O=c1cn[nH]c2cc3c(cc12)OCO3,1,1,0,inf,0.131427,0.6658968,False
O=C1c2ccccc2C(=O)c2ccccc21,1,1,0,inf,0.131427,0.6658968,False
c1cc2c(c3c1CCC3)CCO2,1,1,0,inf,0.131427,0.6658968,False
O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
C=C1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)NCC(=O)N2)OC,1,1,0,inf,0.131427,0.6658968,False
O=C(Cc1ccccc1)NCc1ccccc1N1CCCCC1,1,1,0,inf,0.131427,0.6658968,False
O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,1,1,0,inf,0.131427,0.6658968,False
O=S(=O)(Nc1ccon1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=c1cc2c(c(Nc3ccccc3)[nH]1)c(=O)n(C1CC1)c(=O)n2-c1,1,1,0,inf,0.131427,0.6658968,False
c1ccc2c(c1)ncc1nc[nH]c12,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2cncnc2)cc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(-c2ccc3ccccc3n2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C(c1ccccc1)c1ccccc1.O=C(c1ccccc1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=C(CN1CCN(CCCOc2ccccc2)CC1)Nc1ccccc1,1,1,0,inf,0.131427,0.6658968,False
