pert_id,pert_iname,pert_type,MASTER_DRUG_NAME,MATCHED_AS
BRD-K66175015,afatinib,trt_cp,AFATINIB,afatinib
BRD-K54997624,alpelisib,trt_cp,ALPELISIB,alpelisib
BRD-K29905972,axitinib,trt_cp,AXITINIB,axitinib
BRD-A29485665,bicalutamide,trt_cp,BICALUTAMIDE,bicalutamide
BRD-K99964838,bosutinib,trt_cp,BOSUTINIB,bosutinib
BRD-K78431006,crizotinib,trt_cp,CRIZOTINIB,crizotinib
BRD-A09722536,cyclophosphamide,trt_cp,CYCLOPHOSPHAMIDE,cyclophosphamide
BRD-K33106058,cytarabine,trt_cp,CYTARABINE,cytarabine
BRD-K09951645,dabrafenib,trt_cp,DABRAFENIB,dabrafenib
BRD-K35520305,dacarbazine,trt_cp,DACARBAZINE,dacarbazine
BRD-A73909368,dactinomycin,trt_cp,DACTINOMYCIN,dactinomycin
BRD-K49328571,dasatinib,trt_cp,DASATINIB,dasatinib
BRD-K42125900,docetaxel,trt_cp,DOCETAXEL,docetaxel
BRD-K70401845,erlotinib,trt_cp,ERLOTINIB,erlotinib
BRD-A90490067,fulvestrant,trt_cp,FULVESTRANT,fulvestrant
BRD-K64052750,gefitinib,trt_cp,GEFITINIB,gefitinib
BRD-K15108141,gemcitabine,trt_cp,GEMCITABINE,gemcitabine
BRD-A35869383,ibrutinib,trt_cp,IBRUTINIB,ibrutinib
BRD-K08547377,irinotecan,trt_cp,IRINOTECAN,irinotecan
BRD-M07438658,lapatinib,trt_cp,LAPATINIB,lapatinib
BRD-K78692225,leflunomide,trt_cp,LEFLUNOMIDE,leflunomide
BRD-A17883755,lenalidomide,trt_cp,LENALIDOMIDE,lenalidomide
BRD-K59456551,methotrexate,trt_cp,METHOTREXATE,methotrexate
BRD-K21680192,mitoxantrone,trt_cp,MITOXANTRONE,mitoxantrone
BRD-K31542390,mycophenolic-acid,trt_cp,MYCOPHENOLIC ACID,mycophenolic-acid
BRD-K81528515,nilotinib,trt_cp,NILOTINIB,nilotinib
BRD-K02113016,olaparib,trt_cp,OLAPARIB,olaparib
BRD-A28746609,paclitaxel,trt_cp,PACLITAXEL,paclitaxel
BRD-K51313569,palbociclib,trt_cp,PALBOCICLIB,palbociclib
BRD-K88560311,rucaparib,trt_cp,RUCAPARIB,rucaparib
BRD-K53972329,ruxolitinib,trt_cp,RUXOLITINIB,ruxolitinib
BRD-K57080016,selumetinib,trt_cp,SELUMETINIB,selumetinib
BRD-K49810818,sorafenib,trt_cp,SORAFENIB,sorafenib
BRD-K04210847,tamoxifen,trt_cp,TAMOXIFEN,tamoxifen
BRD-K32107296,temozolomide,trt_cp,TEMOZOLOMIDE,temozolomide
BRD-A62025033,temsirolimus,trt_cp,TEMSIROLIMUS,temsirolimus
BRD-A35588707,teniposide,trt_cp,TENIPOSIDE,teniposide
BRD-A59985574,topotecan,trt_cp,TOPOTECAN,topotecan
BRD-K12343256,trametinib,trt_cp,TRAMETINIB,trametinib
BRD-K06926592,tretinoin,trt_cp,TRETINOIN,tretinoin
BRD-A55594068,vinblastine,trt_cp,VINBLASTINE,vinblastine
BRD-A60414806,vincristine,trt_cp,VINCRISTINE,vincristine
BRD-K97514127,vinorelbine,trt_cp,VINORELBINE,vinorelbine
