cell_id,distil_ss,dn50_lm,is_gold,ngenes_modulated_dn_lm,ngenes_modulated_up_lm,pert_dose,pert_id,pert_iname,pert_time,sig_id,up50_lm
HA1E,2.7652,"['79187', '1500', '23077', '1001', '1906', '5498', '27242', '7077', '3308', '7099', '2131', '10206', '2222', '9375', '54850', '3800', '23161', '5613', '9928', '9641', '26136', '79080', '6909', '2064', '23212', '55825', '4232', '1676', '22883', '5290', '5321', '1385', '55958', '9221', '56940', '5696', '8520', '6810', '23', '5110', '10174', '128', '9112', '8204', '9270', '9761', '84617', '5300', '4817', '6050']",True,13,15,10.0,BRD-A29485665,bicalutamide,24,CPC003_HA1E_24H:BRD-A29485665-001-03-7:10,"['1994', '9695', '11200', '6988', '835', '11325', '54512', '873', '4605', '53343', '5331', '23097', '9448', '9519', '1062', '51635', '51742', '5427', '29103', '57147', '230', '47', '4864', '10525', '79961', '6193', '8835', '899', '9712', '58533', '3162', '80347', '665', '1958', '58497', '7159', '4172', '2954', '55604', '3028', '5827', '23139', '116832', '5547', '54957', '664', '26128', '23463', '80212', '1050']"
HA1E,6.21233,"['8895', '51001', '4616', '23386', '983', '1662', '60528', '9552', '10237', '51385', '30836', '3202', '22926', '22794', '3206', '6697', '11182', '1983', '26511', '3482', '65057', '3315', '5018', '5993', '81533', '10227', '6856', '58478', '9124', '51056', '10007', '11065', '9183', '9133', '79073', '10494', '2958', '23658', '5300', '11137', '8318', '7416', '8985', '7159', '9847', '51071', '55818', '9093', '23014', '22889']",False,98,86,10.0,BRD-A29485665,bicalutamide,6,CPC003_HA1E_6H:BRD-A29485665-001-03-7:10,"['2920', '47', '7074', '11200', '10057', '7466', '3416', '178', '4067', '6676', '8869', '27244', '55958', '22841', '5357', '57192', '9710', '23212', '116832', '29916', '23139', '10329', '2770', '93594', '50810', '6509', '1111', '5607', '4638', '26993', '23097', '2542', '4482', '50813', '11031', '7048', '23378', '29978', '9448', '102', '55179', '51005', '5867', '8324', '65123', '2624', '1981', '55129', '1616', '3508']"
HCC515,2.6741,"['9915', '10559', '6118', '8321', '3551', '1452', '5290', '10206', '1647', '79170', '91949', '79174', '23', '3725', '23321', '5613', '54807', '4780', '5223', '23635', '10892', '51015', '6990', '1676', '39', '6909', '9455', '8837', '8349', '9170', '55012', '10038', '3206', '51024', '1027', '11168', '10245', '2778', '5796', '9448', '965', '1861', '9270', '2353', '9928', '51160', '64429', '1633', '84617', '9112']",True,15,12,10.0,BRD-A29485665,bicalutamide,24,CPC003_HCC515_24H:BRD-A29485665-001-03-7:10,"['7048', '873', '323', '9712', '9143', '2534', '51005', '9854', '642', '10525', '7994', '780', '55604', '79006', '9653', '23463', '5927', '9710', '7165', '80758', '2767', '2115', '8518', '2896', '2063', '2184', '58478', '1662', '23659', '5050', '5092', '5018', '976', '53343', '10776', '7264', '26001', '25966', '7874', '1846', '727', '91137', '6657', '3628', '7088', '10845', '26993', '79073', '2309', '57804']"
HCC515,5.83482,"['9221', '10038', '4893', '200734', '51282', '10146', '55748', '23076', '54733', '7319', '1861', '7866', '29082', '22934', '11041', '10857', '51024', '11137', '23585', '23597', '26520', '9686', '5525', '54205', '5696', '58478', '51742', '51015', '6697', '29937', '51071', '57019', '55604', '2064', '79094', '22796', '2195', '3315', '55818', '1633', '51293', '6832', '85236', '22887', '7159', '1983', '124583', '30836', '23244', '51635']",False,88,44,10.0,BRD-A29485665,bicalutamide,6,CPC003_HCC515_6H:BRD-A29485665-001-03-7:10,"['27244', '5331', '4312', '55008', '29916', '5583', '55129', '3206', '178', '4775', '6990', '10845', '55825', '9710', '23097', '84890', '8821', '85377', '22841', '23224', '9016', '54623', '2542', '26993', '11000', '5971', '6443', '29763', '55620', '80212', '57406', '80746', '29911', '2624', '23522', '80204', '5019', '4846', '11261', '54442', '29978', '9217', '9854', '23131', '10610', '9851', '230', '8851', '7852', '9641']"
PC3,3.02056,"['808', '6182', '23212', '4780', '79174', '10049', '102', '22905', '1662', '1123', '6790', '142', '23029', '55748', '6050', '387', '6599', '6813', '51116', '466', '5699', '51056', '54681', '481', '8870', '10797', '22809', '983', '2063', '965', '329', '79143', '6697', '8518', '79080', '10813', '91949', '9517', '1786', '51097', '23499', '2113', '9170', '8624', '8550', '8884', '64746', '9270', '57019', '5096']",False,16,15,10.0,BRD-A29485665,bicalutamide,24,CPC003_PC3_24H:BRD-A29485665-001-03-7:10,"['4067', '355', '2042', '11200', '4482', '4200', '3122', '11325', '47', '3480', '83743', '6676', '200734', '7048', '2356', '5373', '1399', '5289', '54541', '25966', '4925', '9261', '9842', '5580', '54442', '5427', '10610', '7099', '351', '10046', '2745', '7994', '10557', '5627', '5986', '8440', '6509', '55608', '2690', '8508', '9709', '9961', '10732', '51005', '84890', '51071', '10904', '6304', '147179', '79600']"
PC3,9.50411,"['1829', '9448', '64746', '11098', '10237', '5899', '26227', '965', '10227', '1891', '63933', '51569', '23076', '27336', '10270', '664', '9943', '392', '7905', '9813', '896', '3251', '85236', '1786', '8050', '1662', '5096', '8318', '10493', '11137', '5982', '10730', '1848', '23244', '7088', '5747', '10049', '10668', '9183', '22905', '840', '8204', '2778', '5547', '572', '3066', '51071', '51385', '5111', '51382']",False,163,143,10.0,BRD-A29485665,bicalutamide,6,CPC003_PC3_6H:BRD-A29485665-001-03-7:10,"['4482', '80204', '83743', '8996', '57192', '7750', '55008', '55033', '375346', '6509', '9833', '10557', '4846', '6676', '9641', '5583', '11325', '6443', '79961', '56997', '84890', '3122', '7105', '7074', '2048', '81544', '3416', '9455', '1123', '8444', '3566', '51742', '8821', '23139', '22841', '3202', '55179', '8837', '9267', '976', '23097', '3398', '50813', '9988', '89910', '54438', '4780', '8727', '55958', '9275']"
VCAP,2.92692,"['23536', '6774', '10180', '10206', '8312', '51026', '2886', '3122', '6810', '9915', '6777', '10810', '5261', '5359', '10059', '79716', '3202', '23014', '23321', '64428', '54807', '6622', '6676', '780', '4780', '8837', '10776', '6659', '9801', '84617', '54881', '6990', '1123', '1848', '9112', '6988', '55324', '1534', '847', '26001', '10695', '9183', '5985', '55148', '3300', '10641', '5770', '23512', '54205', '1027']",False,17,11,10.0,BRD-A29485665,bicalutamide,24,CPC003_VCAP_24H:BRD-A29485665-001-03-7:10,"['7048', '79006', '2920', '2037', '57048', '27109', '1026', '9961', '128', '29763', '5427', '7099', '63874', '64422', '50813', '80349', '10007', '27032', '6184', '51335', '310', '5777', '5889', '9851', '11041', '808', '11319', '6193', '2542', '4582', '5438', '10765', '8607', '54733', '54499', '25805', '64746', '5092', '4154', '51282', '11007', '9797', '25', '7485', '8061', '9686', '7168', '10670', '8091', '7866']"
VCAP,2.54157,"['55324', '7874', '23097', '4931', '595', '4303', '24149', '23588', '22908', '55608', '1019', '5982', '9833', '6119', '10606', '8243', '10969', '6499', '9943', '53343', '29890', '5423', '10973', '3251', '10797', '7296', '5287', '10180', '466', '2778', '10059', '200081', '8895', '7153', '27032', '23326', '9761', '6856', '1465', '26520', '9019', '6697', '11011', '2195', '29083', '9847', '11168', '3337', '5438', '22827']",False,11,3,10.0,BRD-A29485665,bicalutamide,6,CPC003_VCAP_6H:BRD-A29485665-001-03-7:10,"['2115', '8869', '2017', '55038', '23212', '4208', '23368', '10732', '79600', '63933', '1062', '843', '5427', '10123', '7099', '9124', '9695', '7852', '8900', '3482', '5048', '54438', '2264', '5654', '9897', '5889', '9924', '8318', '1906', '4775', '64781', '22841', '868', '5899', '11325', '3303', '4232', '29763', '4998', '211', '5788', '27336', '79961', '2961', '54850', '10610', '2131', '54623', '7016', '51015']"
A375,4.14395,"['5715', '22889', '23585', '79902', '79073', '30836', '3308', '9221', '51070', '10813', '9918', '3066', '55748', '54386', '10049', '5018', '211', '65057', '54205', '10915', '10146', '994', '332', '4172', '51021', '5111', '51056', '10237', '23597', '26520', '23029', '26227', '644', '5891', '51053', '128', '5696', '27336', '11137', '8985', '9128', '51026', '10059', '5300', '54499', '1738', '10112', '9926', '23223', '51001']",False,63,17,10.0,BRD-A29485665,bicalutamide,6,CPC011_A375_6H:BRD-A29485665-001-07-8:10,"['80204', '4638', '4775', '58472', '154', '6909', '55008', '5211', '5331', '2852', '5106', '11200', '29911', '55111', '56997', '6304', '57406', '5654', '5710', '8800', '2810', '5287', '8312', '5927', '23097', '1052', '4208', '1050', '2017', '10732', '50810', '3300', '3909', '79643', '8324', '976', '5603', '55033', '9805', '6813', '10362', '29763', '102', '11261', '2887', '4846', '8851', '23139', '54438', '9833']"
A549,3.15019,"['9531', '51422', '5359', '10782', '3611', '1666', '11319', '10038', '7867', '51742', '5993', '8974', '79143', '7866', '3033', '55837', '533', '22908', '55793', '1452', '51116', '1459', '8914', '1022', '9261', '56997', '7416', '10953', '79006', '10285', '1277', '5715', '56889', '6919', '26064', '10051', '26001', '6804', '9053', '25932', '8318', '54807', '5708', '11232', '9133', '10493', '51635', '79902', '56654', '4690']",False,17,19,10.0,BRD-A29485665,bicalutamide,24,CPC011_A549_24H:BRD-A29485665-001-07-8:10,"['65123', '2770', '6509', '7074', '10320', '11031', '2769', '3775', '54442', '54623', '54438', '23368', '8884', '5355', '8312', '11000', '6251', '1385', '4864', '9897', '7043', '5925', '3964', '1662', '392', '55111', '7750', '9710', '6304', '57178', '30', '3508', '10818', '1052', '5613', '55847', '27336', '51015', '211', '695', '3454', '3553', '2113', '79187', '10049', '23410', '23365', '54850', '5716', '323']"
A549,2.58154,"['64422', '54442', '23326', '9637', '3930', '80204', '3315', '9688', '2887', '4850', '23139', '695', '6509', '8974', '3385', '10165', '10059', '5211', '11230', '26054', '55746', '23142', '6050', '7165', '7296', '5743', '5899', '3416', '5927', '55129', '1846', '4043', '4616', '51070', '55038', '4792', '5601', '29890', '8878', '4780', '51635', '22827', '8202', '26128', '51116', '3398', '595', '8518', '6772', '51282']",False,12,6,10.0,BRD-A29485665,bicalutamide,6,CPC011_A549_6H:BRD-A29485665-001-07-8:10,"['8804', '10150', '56940', '1633', '3206', '26511', '51385', '51293', '2115', '5423', '25', '5058', '10174', '10049', '9641', '348', '8851', '25825', '4791', '57215', '6253', '2042', '5366', '10057', '80349', '1829', '8444', '5603', '10451', '1001', '3775', '60493', '9093', '7690', '51026', '9455', '1861', '1786', '10695', '10810', '5048', '3566', '7466', '5796', '1891', '10559', '596', '3508', '79961', '10525']"
HA1E,3.15024,"['1616', '6304', '256364', '10131', '23149', '2673', '3628', '6118', '23463', '9217', '23658', '25874', '6119', '11007', '7982', '8869', '23378', '2184', '4144', '56997', '8821', '899', '51031', '2954', '572', '23224', '11157', '3978', '116832', '1452', '5891', '890', '54850', '9709', '23200', '3725', '10174', '10559', '1983', '1027', '4651', '3638', '5223', '4616', '8624', '10730', '55256', '8550', '6050', '5696']",False,21,13,10.0,BRD-A29485665,bicalutamide,6,CPC011_HA1E_6H:BRD-A29485665-001-07-8:10,"['2770', '2908', '6193', '1385', '4794', '85377', '8996', '25803', '9637', '7043', '64422', '843', '958', '727', '7020', '10668', '84159', '1050', '9170', '51465', '5467', '23142', '5613', '5480', '9686', '6253', '10165', '1906', '29928', '51335', '1845', '63933', '4088', '5154', '3988', '1676', '80746', '1500', '596', '57804', '10641', '2042', '89910', '9917', '9697', '5529', '51375', '54541', '51056', '8835']"
