DRUGCOMB_CELL_NAME,GDSC_CELL_NAME,COSMIC_ID,TISSUE_TYPE,FUZZY_MATCHED
786-0,786-0,905947,kidney,False
A2058,A2058,906792,skin,False
A2780,A2780,906804,urogenital_system,False
A375,A375,906793,skin,False
A427,A427,910851,lung_NSCLC,False
A498,A498,905948,kidney,False
A549,A549,905949,lung_NSCLC,False
A673,A673,684052,soft_tissue,False
ACHN,ACHN,905950,kidney,False
BT-549,BT-549,905951,breast,False
CAKI-1,CAKI-1,905963,kidney,False
CAOV-3,CAOV-3,906825,urogenital_system,False
CCRF-CEM,CCRF-CEM,905952,leukemia,False
COLO-205,COLO-205,905961,large_intestine,False
DU-145,DU-145,905935,urogenital_system,False
EKVX,EKVX,905970,lung_NSCLC,False
ES-2,ES-2,1240128,urogenital_system,False
EW-18,EW-18,949164,bone,False
HCC2998,HCC2998,905971,large_intestine,False
HCT-116,HCT-116,905936,large_intestine,False
HCT-15,HCT-15,905937,large_intestine,False
HDLM-2,HDLM-2,924110,lymphoma,False
HOP-62,HOP-62,905972,lung_NSCLC,False
HOP-92,HOP-92,905973,lung_NSCLC,False
HT-144,HT-144,907067,skin,False
HT-29,HT-29,905939,large_intestine,False
HUH-7,HUH-7,907071,digestive_system,False
IGROV-1,IGROV-1,905968,urogenital_system,False
K-562,K-562,905940,leukemia,False
KM12,KM12,905989,large_intestine,False
L-1236,L-1236,1330935,lymphoma,False
L-428,L-428,907322,lymphoma,False
LOVO,LOVO,907790,large_intestine,False
LOXIMVI,LOXIMVI,905974,skin,False
M14,M14,905975,skin,False
MCF7,MCF7,905946,breast,False
MDA-MB-231,MDA-MB-231,905960,breast,False
MDA-MB-436,MDA-MB-436,1240172,breast,False
MDA-MB-453,MDA-MB-453,908122,breast,False
MDA-MB-468,MDA-MB-468,908123,breast,False
MMAC-SF,MMAC-SF,925339,skin,False
MOLT-4,MOLT-4,905958,leukemia,False
MZ7-MEL,MZ7-MEL,753596,skin,False
NCI-H1650,NCI-H1650,687800,lung_NSCLC,False
NCI-H2122,NCI-H2122,722046,lung_NSCLC,False
NCI-H226,NCI-H226,905941,lung_NSCLC,False
NCI-H23,NCI-H23,905942,lung_NSCLC,False
NCI-H322M,NCI-H322M,905967,lung_NSCLC,False
NCI-H460,NCI-H460,905943,lung_NSCLC,False
NCI-H520,NCI-H520,908443,lung_NSCLC,False
NCI-H522,NCI-H522,905944,lung_NSCLC,False
OCUB-M,OCUB-M,909256,breast,False
OV-90,OV-90,1240197,urogenital_system,False
OVCAR-3,OVCAR-3,905933,urogenital_system,False
OVCAR-4,OVCAR-4,905990,urogenital_system,False
OVCAR-5,OVCAR-5,905969,urogenital_system,False
OVCAR-8,OVCAR-8,905991,urogenital_system,False
PA-1,PA-1,909255,urogenital_system,False
PC-3,PC-3,905934,urogenital_system,False
RD,RD,909264,soft_tissue,False
RKO,RKO,909698,large_intestine,False
RPMI-7951,RPMI-7951,910903,skin,False
RPMI-8226,RPMI-8226,905964,myeloma,False
RXF393,RXF393,905978,kidney,False
SF268,SF268,905986,nervous_system,False
SF295,SF295,905985,nervous_system,False
SF539,SF539,905984,nervous_system,False
SK-MEL-2,SK-MEL-2,905955,skin,False
SK-MEL-28,SK-MEL-28,905954,skin,False
SK-MEL-30,SK-MEL-30,909726,skin,False
SK-MEL-5,SK-MEL-5,905956,skin,False
SK-MES-1,SK-MES-1,909728,lung_NSCLC,False
SK-OV-3,SK-OV-3,905959,urogenital_system,False
SN12C,SN12C,905979,kidney,False
SNB75,SNB75,905982,nervous_system,False
SR,SR,905965,lymphoma,False
SW620,SW620,905962,large_intestine,False
SW837,SW837,909755,large_intestine,False
T47D,T47D,905945,breast,False
T98G,T98G,687586,nervous_system,False
TC-71,TC-71,1240221,bone,False
TK10,TK10,905980,kidney,False
U251,U251,905983,nervous_system,False
UACC-257,UACC-257,905977,skin,False
UACC-62,UACC-62,905976,skin,False
UWB1.289,UWB1.289,1480374,urogenital_system,False
VCAP,VCAP,1299075,urogenital_system,False
WM-115,WM-115,909784,skin,False
