MASTER_DRUG_NAME,CHEMBL_ID,GDSC_DRUG_NAME,GDSC_DRUG_ID,DRUGCOMB_DRUG_NAME,IN_CHEMBL,IN_GDSC,IN_DRUGCOMB
AFATINIB,CHEMBL1173655,AFATINIB,1032,AFATINIB,True,True,True
ALPELISIB,CHEMBL2396661,ALPELISIB,1560,ALPELISIB,True,True,True
AXITINIB,CHEMBL1289926,AXITINIB,1021,AXITINIB,True,True,True
BICALUTAMIDE,CHEMBL409,BICALUTAMIDE,1502,BICALUTAMIDE,True,True,True
BOSUTINIB,CHEMBL288441,BOSUTINIB,1019,BOSUTINIB,True,True,True
CARMUSTINE,CHEMBL513,CARMUSTINE,1807,CARMUSTINE,True,True,True
CRIZOTINIB,CHEMBL601719,CRIZOTINIB,1083,CRIZOTINIB,True,True,True
CYCLOPHOSPHAMIDE,CHEMBL1200796,CYCLOPHOSPHAMIDE,1512,CYCLOPHOSPHAMIDE,True,True,True
CYTARABINE,CHEMBL803,CYTARABINE,1006,CYTARABINE,True,True,True
DABRAFENIB,CHEMBL2028663,DABRAFENIB,1373,DABRAFENIB,True,True,True
DACARBAZINE,CHEMBL476,DACARBAZINE,1815,DACARBAZINE,True,True,True
DACTINOMYCIN,CHEMBL1554,DACTINOMYCIN,1911,DACTINOMYCIN,True,True,True
DASATINIB,CHEMBL5416410,DASATINIB,1079,DASATINIB,True,True,True
DOCETAXEL,CHEMBL3545252,DOCETAXEL,1819,DOCETAXEL,True,True,True
ERLOTINIB,CHEMBL553,ERLOTINIB,1168,ERLOTINIB,True,True,True
FULVESTRANT,CHEMBL1358,FULVESTRANT,1816,FULVESTRANT,True,True,True
GEFITINIB,CHEMBL939,GEFITINIB,1010,GEFITINIB,True,True,True
GEMCITABINE,CHEMBL888,GEMCITABINE,1190,GEMCITABINE,True,True,True
IBRUTINIB,CHEMBL1873475,IBRUTINIB,1799,IBRUTINIB,True,True,True
IRINOTECAN,CHEMBL481,IRINOTECAN,1088,IRINOTECAN,True,True,True
LAPATINIB,CHEMBL554,LAPATINIB,1558,LAPATINIB,True,True,True
LEFLUNOMIDE,CHEMBL960,LEFLUNOMIDE,1578,LEFLUNOMIDE,True,True,True
LENALIDOMIDE,CHEMBL848,LENALIDOMIDE,1020,LENALIDOMIDE,True,True,True
METHOTREXATE,CHEMBL34259,METHOTREXATE,1008,METHOTREXATE,True,True,True
MITOXANTRONE,CHEMBL58,MITOXANTRONE,1810,MITOXANTRONE,True,True,True
MYCOPHENOLIC ACID,CHEMBL866,MYCOPHENOLIC ACID,2055,MYCOPHENOLIC ACID,True,True,True
NELARABINE,CHEMBL1201112,NELARABINE,1814,NELARABINE,True,True,True
NILOTINIB,CHEMBL255863,NILOTINIB,1013,NILOTINIB,True,True,True
NIRAPARIB,CHEMBL1094636,NIRAPARIB,1177,NIRAPARIB,True,True,True
OLAPARIB,CHEMBL521686,OLAPARIB,1017,OLAPARIB,True,True,True
OSIMERTINIB,CHEMBL3353410,OSIMERTINIB,1919,OSIMERTINIB,True,True,True
PACLITAXEL,CHEMBL428647,PACLITAXEL,1080,PACLITAXEL,True,True,True
PALBOCICLIB,CHEMBL189963,PALBOCICLIB,1054,PALBOCICLIB,True,True,True
RIBOCICLIB,CHEMBL3545110,RIBOCICLIB,1632,RIBOCICLIB,True,True,True
ROMIDEPSIN,CHEMBL343448,ROMIDEPSIN,1817,ROMIDEPSIN,True,True,True
RUCAPARIB,CHEMBL1173055,RUCAPARIB,1175,RUCAPARIB,True,True,True
RUXOLITINIB,CHEMBL1789941,RUXOLITINIB,1507,RUXOLITINIB,True,True,True
SELUMETINIB,CHEMBL1614701,SELUMETINIB,1736,SELUMETINIB,True,True,True
SORAFENIB,CHEMBL1336,SORAFENIB,1085,SORAFENIB,True,True,True
TALAZOPARIB,CHEMBL3137320,TALAZOPARIB,1259,TALAZOPARIB,True,True,True
TAMOXIFEN,CHEMBL83,TAMOXIFEN,1199,TAMOXIFEN,True,True,True
TEMOZOLOMIDE,CHEMBL810,TEMOZOLOMIDE,1375,TEMOZOLOMIDE,True,True,True
TEMSIROLIMUS,CHEMBL1201182,TEMSIROLIMUS,1016,TEMSIROLIMUS,True,True,True
TENIPOSIDE,CHEMBL452231,TENIPOSIDE,1809,TENIPOSIDE,True,True,True
TOPOTECAN,CHEMBL84,TOPOTECAN,1808,TOPOTECAN,True,True,True
TRAMETINIB,CHEMBL2103875,TRAMETINIB,1372,TRAMETINIB,True,True,True
TRETINOIN,CHEMBL38,TRETINOIN,1009,TRETINOIN,True,True,True
VINBLASTINE,CHEMBL159,VINBLASTINE,1004,VINBLASTINE,True,True,True
VINCRISTINE,CHEMBL90555,VINCRISTINE,1818,VINCRISTINE,True,True,True
VINORELBINE,CHEMBL553025,VINORELBINE,2048,VINORELBINE,True,True,True
VISMODEGIB,CHEMBL473417,VISMODEGIB,1033,VISMODEGIB,True,True,True
