FEATURE_NAME,FEATURE_GROUP
ID,OTHER
ZIP_SCORE,SCORE
BLISS_SCORE,SCORE
HSA_SCORE,SCORE
D1_FP_0,FP
D1_FP_1,FP
D1_FP_2,FP
D1_FP_3,FP
D1_FP_4,FP
D1_FP_5,FP
D1_FP_6,FP
D1_FP_7,FP
D1_FP_8,FP
D1_FP_9,FP
D1_FP_10,FP
D1_FP_11,FP
D1_FP_12,FP
D1_FP_13,FP
D1_FP_14,FP
D1_FP_15,FP
D1_FP_16,FP
D1_FP_17,FP
D1_FP_18,FP
D1_FP_19,FP
D1_FP_20,FP
D1_FP_21,FP
D1_FP_22,FP
D1_FP_23,FP
D1_FP_24,FP
D1_FP_25,FP
D1_FP_26,FP
D1_FP_27,FP
D1_FP_28,FP
D1_FP_29,FP
D1_FP_30,FP
D1_FP_31,FP
D1_FP_32,FP
D1_FP_33,FP
D1_FP_34,FP
D1_FP_35,FP
D1_FP_36,FP
D1_FP_37,FP
D1_FP_38,FP
D1_FP_39,FP
D1_FP_40,FP
D1_FP_41,FP
D1_FP_42,FP
D1_FP_43,FP
D1_FP_44,FP
D1_FP_45,FP
D1_FP_46,FP
D1_FP_47,FP
D1_FP_48,FP
D1_FP_49,FP
D1_FP_50,FP
D1_FP_51,FP
D1_FP_52,FP
D1_FP_53,FP
D1_FP_54,FP
D1_FP_55,FP
D1_FP_56,FP
D1_FP_57,FP
D1_FP_58,FP
D1_FP_59,FP
D1_FP_60,FP
D1_FP_61,FP
D1_FP_62,FP
D1_FP_63,FP
D1_FP_64,FP
D1_FP_65,FP
D1_FP_66,FP
D1_FP_67,FP
D1_FP_68,FP
D1_FP_69,FP
D1_FP_70,FP
D1_FP_71,FP
D1_FP_72,FP
D1_FP_73,FP
D1_FP_74,FP
D1_FP_75,FP
D1_FP_76,FP
D1_FP_77,FP
D1_FP_78,FP
D1_FP_79,FP
D1_FP_80,FP
D1_FP_81,FP
D1_FP_82,FP
D1_FP_83,FP
D1_FP_84,FP
D1_FP_85,FP
D1_FP_86,FP
D1_FP_87,FP
D1_FP_88,FP
D1_FP_89,FP
D1_FP_90,FP
D1_FP_91,FP
D1_FP_92,FP
D1_FP_93,FP
D1_FP_94,FP
D1_FP_95,FP
D1_FP_96,FP
D1_FP_97,FP
D1_FP_98,FP
D1_FP_99,FP
D1_FP_100,FP
D1_FP_101,FP
D1_FP_102,FP
D1_FP_103,FP
D1_FP_104,FP
D1_FP_105,FP
D1_FP_106,FP
D1_FP_107,FP
D1_FP_108,FP
D1_FP_109,FP
D1_FP_110,FP
D1_FP_111,FP
D1_FP_112,FP
D1_FP_113,FP
D1_FP_114,FP
D1_FP_115,FP
D1_FP_116,FP
D1_FP_117,FP
D1_FP_118,FP
D1_FP_119,FP
D1_FP_120,FP
D1_FP_121,FP
D1_FP_122,FP
D1_FP_123,FP
D1_FP_124,FP
D1_FP_125,FP
D1_FP_126,FP
D1_FP_127,FP
D1_FP_128,FP
D1_FP_129,FP
D1_FP_130,FP
D1_FP_131,FP
D1_FP_132,FP
D1_FP_133,FP
D1_FP_134,FP
D1_FP_135,FP
D1_FP_136,FP
D1_FP_137,FP
D1_FP_138,FP
D1_FP_139,FP
D1_FP_140,FP
D1_FP_141,FP
D1_FP_142,FP
D1_FP_143,FP
D1_FP_144,FP
D1_FP_145,FP
D1_FP_146,FP
D1_FP_147,FP
D1_FP_148,FP
D1_FP_149,FP
D1_FP_150,FP
D1_FP_151,FP
D1_FP_152,FP
D1_FP_153,FP
D1_FP_154,FP
D1_FP_155,FP
D1_FP_156,FP
D1_FP_157,FP
D1_FP_158,FP
D1_FP_159,FP
D1_FP_160,FP
D1_FP_161,FP
D1_FP_162,FP
D1_FP_163,FP
D1_FP_164,FP
D1_FP_165,FP
D1_FP_166,FP
D1_FP_167,FP
D1_FP_168,FP
D1_FP_169,FP
D1_FP_170,FP
D1_FP_171,FP
D1_FP_172,FP
D1_FP_173,FP
D1_FP_174,FP
D1_FP_175,FP
D1_FP_176,FP
D1_FP_177,FP
D1_FP_178,FP
D1_FP_179,FP
D1_FP_180,FP
D1_FP_181,FP
D1_FP_182,FP
D1_FP_183,FP
D1_FP_184,FP
D1_FP_185,FP
D1_FP_186,FP
D1_FP_187,FP
D1_FP_188,FP
D1_FP_189,FP
D1_FP_190,FP
D1_FP_191,FP
D1_FP_192,FP
D1_FP_193,FP
D1_FP_194,FP
D1_FP_195,FP
D1_FP_196,FP
D1_FP_197,FP
D1_FP_198,FP
D1_FP_199,FP
D1_FP_200,FP
D1_FP_201,FP
D1_FP_202,FP
D1_FP_203,FP
D1_FP_204,FP
D1_FP_205,FP
D1_FP_206,FP
D1_FP_207,FP
