SAMPLE_IDX,TRUE_LABEL,SAMPLE_TYPE,FEATURE,LIME_WEIGHT
103,1,Synergistic,MUT_cnaPANCAN205 <= -0.26,-0.06840211808759042
103,1,Synergistic,D2_FP_557 > -0.29,0.05909552154636772
103,1,Synergistic,HSA_SCORE > 0.59,0.058733455255252635
103,1,Synergistic,MUT_cnaPANCAN90 > -0.25,0.05830330295603132
103,1,Synergistic,D2_FP_780 > -0.14,0.056069400051977566
103,1,Synergistic,D1_FP_834 <= -0.24,-0.052726987066601935
103,1,Synergistic,D2_FP_456 > -0.36,0.052195726689723616
103,1,Synergistic,D1_FP_960 <= -0.25,-0.05109590824469732
103,1,Synergistic,D1_FP_429 <= -0.35,-0.042262668421590315
103,1,Synergistic,D2_FP_786 > -0.33,0.04163884832176985
103,1,Synergistic,MUT_PTEN_mut > -0.43,0.03640674398406255
103,1,Synergistic,D2_FP_464 > -0.32,0.035665939955973044
103,1,Synergistic,MUT_cnaPANCAN86 > -0.30,0.0344376850702065
103,1,Synergistic,D2_FP_673 > -0.33,0.029780919735230074
103,1,Synergistic,D1_FP_479 <= -0.26,-0.02775234326398244
103,1,Synergistic,D2_FP_329 > -0.23,0.025606186081787535
103,1,Synergistic,MUT_cnaPANCAN343 <= -0.64,0.022429114023540496
103,1,Synergistic,D1_FP_695 <= -0.64,0.01928527207469452
103,1,Synergistic,D2_FP_807 <= -1.61,0.017649539211023267
103,1,Synergistic,D2_FP_121 > -0.41,-0.00010370103358096113
170,1,Synergistic,D1_FP_768 > -0.18,0.12079558602433106
170,1,Synergistic,D1_FP_57 <= -0.22,-0.1021494118593878
170,1,Synergistic,HSA_SCORE > 0.59,0.08861310695934671
170,1,Synergistic,TISSUE_leukemia <= -0.28,-0.08747781131248686
170,1,Synergistic,D1_FP_759 > -0.21,0.0801084729577529
170,1,Synergistic,D1_FP_861 > -0.17,0.059809667235695585
170,1,Synergistic,TISSUE_skin > -0.38,0.059548295511023024
170,1,Synergistic,MUT_cnaPANCAN367 <= -0.42,0.04996183380302931
170,1,Synergistic,D1_LINCS_N_SIGNATURES <= -0.15,0.04991941780652789
170,1,Synergistic,D1_FP_121 > -0.46,0.049067378661919334
170,1,Synergistic,D1_FP_490 > -0.26,0.0386404001926581
170,1,Synergistic,D1_FP_81 > -0.25,0.03609548555747179
170,1,Synergistic,D1_AUC > 0.43,0.030680516421372667
170,1,Synergistic,-0.78 < D2_MOLECULAR_WEIGHT <= -0.10,0.028647754785387763
170,1,Synergistic,-0.07 < D1_FP_33 <= 0.53,0.027688561242067037
170,1,Synergistic,ZIP_SCORE > 0.39,0.023575781104121257
170,1,Synergistic,-0.73 < D2_ALOGP <= 0.07,0.015363212638306716
170,1,Synergistic,D1_FP_542 > -0.17,0.01455773765384426
170,1,Synergistic,D1_FP_280 > -0.17,-0.0037867067665901225
170,1,Synergistic,MUT_cnaPANCAN137 <= -0.55,-0.00158909300405308
173,1,Synergistic,D1_FP_295 <= -0.17,-0.12536488045138278
173,1,Synergistic,D2_FP_94 > -0.19,0.08982514372044752
173,1,Synergistic,D1_FP_758 > -0.18,0.08094047985497349
173,1,Synergistic,D1_FP_84 > -0.20,0.07809069844624121
173,1,Synergistic,D2_FP_325 <= -0.18,-0.07765073989905018
173,1,Synergistic,D1_FP_708 <= -0.27,-0.0665757584640225
173,1,Synergistic,HSA_SCORE > 0.59,0.0641320181603938
173,1,Synergistic,D2_FP_723 > -0.17,0.05463949469453011
173,1,Synergistic,D1_FP_102 <= -0.35,-0.04111616337495584
173,1,Synergistic,D2_ALOGP <= -0.73,0.03809774477156721
173,1,Synergistic,D1_FP_808 <= -0.36,-0.034944351724588006
173,1,Synergistic,D1_FP_226 <= -0.28,-0.025493883470719122
173,1,Synergistic,D2_PSA > 0.26,0.02461411643893829
173,1,Synergistic,D1_HBD <= -0.80,0.02382589690704118
173,1,Synergistic,D1_FP_128 <= -1.26,0.021535288062907915
173,1,Synergistic,D1_FP_698 <= -0.50,-0.01959309719914941
173,1,Synergistic,D1_FP_377 <= -0.27,-0.018731172954434893
173,1,Synergistic,D2_FP_4 <= -0.51,-0.017296110322283915
173,1,Synergistic,-0.13 < PAIR_TANIMOTO_SIM <= 0.68,0.016430845220471724
173,1,Synergistic,D2_FP_926 <= -0.73,0.01197672698163432
