FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
HSA_SCORE,5.7839904,SCORE
BLISS_SCORE,0.8451288,SCORE
ZIP_SCORE,0.7224161,SCORE
ID,0.31017792,FP
PAIR_TANIMOTO_SIM,0.09163358,PAIR
D1_LN_IC50,0.078625694,IC50_AUC
D1_AUC,0.07580849,IC50_AUC
MUT_cnaPANCAN381,0.048367146,MUTATION
MUT_cnaPANCAN312,0.046896864,MUTATION
D2_SCAFFOLD_ID,0.04369073,DRUG_PROP
D2_ALOGP,0.041254006,DRUG_PROP
D2_PSA,0.040141605,DRUG_PROP
MUT_cnaPANCAN338,0.035229072,MUTATION
D1_MOLECULAR_WEIGHT,0.03320451,DRUG_PROP
D1_PSA,0.03164595,DRUG_PROP
D1_FP_878,0.030124249,FP
D1_SCAFFOLD_ID,0.029975204,DRUG_PROP
D1_HBD,0.029678177,DRUG_PROP
TISSUE_kidney,0.02921001,TISSUE
D1_ALOGP,0.029104417,DRUG_PROP
D2_MOLECULAR_WEIGHT,0.028174542,DRUG_PROP
MUT_TP53_mut,0.02587043,MUTATION
TISSUE_nervous_system,0.025574725,TISSUE
D2_FP_85,0.02526797,FP
MUT_cnaPANCAN137,0.024224533,MUTATION
D1_LINCS_N_SIGNATURES,0.023994898,LINCS
D1_NUM_RINGS,0.022454573,DRUG_PROP
TISSUE_leukemia,0.022305273,TISSUE
D2_FP_428,0.02194515,FP
D1_HBA,0.02183655,DRUG_PROP
MUT_cnaPANCAN215,0.021352798,MUTATION
MUT_ACVR2A_mut,0.021080883,MUTATION
MUT_cnaPANCAN386,0.020891678,MUTATION
D1_FP_477,0.020785611,FP
TISSUE_urogenital_system,0.020405034,TISSUE
D2_FP_33,0.020322008,FP
MUT_cnaPANCAN356,0.02020028,MUTATION
MUT_cnaPANCAN368,0.019912627,MUTATION
D2_HBA,0.01968639,DRUG_PROP
D1_FP_343,0.019629683,FP
D1_FP_692,0.019329142,FP
D1_FP_508,0.019070242,FP
D2_FP_816,0.018074872,FP
D1_FP_346,0.018017458,FP
D2_HBD,0.016484695,DRUG_PROP
D2_NUM_RINGS,0.01585386,DRUG_PROP
D1_FP_154,0.015796324,FP
D2_LINCS_MEAN_NGENES_DN,0.015121988,LINCS
MUT_EP300_mut,0.014814475,MUTATION
MUT_cnaPANCAN120,0.014810025,MUTATION
D2_FP_361,0.014609862,FP
D2_FP_945,0.014575242,FP
D1_FP_507,0.014544461,FP
MUT_PTEN_mut,0.014530499,MUTATION
D2_FP_121,0.014365961,FP
D1_FP_954,0.014152236,FP
MUT_cnaPANCAN212,0.013879286,MUTATION
D1_FP_578,0.013865311,FP
MUT_cnaPANCAN250,0.0138582485,MUTATION
D1_FP_413,0.013817389,FP
D2_FP_497,0.013814785,FP
D1_FP_807,0.013551647,FP
MUT_cnaPANCAN339,0.013151722,MUTATION
D2_FP_100,0.013027205,FP
MUT_BRAF_mut,0.012981263,MUTATION
TISSUE_skin,0.012774742,TISSUE
D2_FP_656,0.012507804,FP
D2_FP_551,0.012330181,FP
D2_FP_966,0.012311079,FP
MUT_cnaPANCAN244,0.011961099,MUTATION
D1_FP_314,0.0119508235,FP
D2_FP_11,0.011736658,FP
D1_FP_473,0.011717132,FP
D2_FP_81,0.011604385,FP
D2_FP_927,0.011532821,FP
MUT_KRAS_mut,0.01127432,MUTATION
D1_FP_557,0.011218609,FP
D1_FP_561,0.011177601,FP
MUT_cnaPANCAN235,0.011144617,MUTATION
MUT_cnaPANCAN26,0.010950447,MUTATION
D2_FP_880,0.010925843,FP
MUT_cnaPANCAN91,0.010894054,MUTATION
D2_FP_893,0.0108889695,FP
MUT_SMARCA4_mut,0.010733983,MUTATION
D1_FP_114,0.010662626,FP
MUT_cnaPANCAN88,0.010399397,MUTATION
MSI_STATUS,0.010374418,CELL
MUT_cnaPANCAN127,0.010325904,MUTATION
D2_FP_64,0.010025245,FP
MUT_cnaPANCAN146,0.009900098,MUTATION
D1_FP_90,0.009781051,FP
D2_FP_659,0.009755145,FP
MUT_PIK3CA_mut,0.009711939,MUTATION
D2_FP_90,0.009634868,FP
MUT_cnaPANCAN230,0.009613978,MUTATION
MUT_cnaPANCAN121,0.009576088,MUTATION
MUT_cnaPANCAN385,0.009564031,MUTATION
D2_FP_856,0.009394291,FP
MUT_cnaPANCAN377,0.009216284,MUTATION
MUT_cnaPANCAN343,0.009114497,MUTATION
MUT_cnaPANCAN367,0.009089525,MUTATION
MUT_cnaPANCAN144,0.0090101175,MUTATION
D1_FP_656,0.008977624,FP
D1_FP_713,0.008927869,FP
D2_FP_23,0.008892634,FP
D2_FP_760,0.008834875,FP
D2_FP_432,0.008825211,FP
D2_FP_881,0.0088065695,FP
