TISSUE,N_TOTAL,N_SYNERGISTIC,SYNERGY_RATE,OVERALL_RATE,FOLD_ENRICHMENT,PVAL,FDR_BH,SIGNIFICANT
nervous_system,3326,316,0.095,0.0626,1.519,0.0,0.0,True
large_intestine,4713,149,0.0316,0.0626,0.505,0.0,0.0,True
leukemia,5508,109,0.0198,0.0626,0.317,0.0,0.0,True
lung_NSCLC,15851,300,0.0189,0.0626,0.302,0.0,0.0,True
myeloma,1771,33,0.0186,0.0626,0.297,0.0,0.0,True
lymphoma,4601,85,0.0185,0.0626,0.296,0.0,0.0,True
breast,7801,133,0.017,0.0626,0.272,0.0,0.0,True
urogenital_system,12438,206,0.0166,0.0626,0.265,0.0,0.0,True
kidney,9746,152,0.0156,0.0626,0.249,0.0,0.0,True
skin,9449,131,0.0139,0.0626,0.222,0.0,0.0,True
soft_tissue,19,9,0.4737,0.0626,7.572,1e-06,1.090909090909091e-06,True
bone,348,4,0.0115,0.0626,0.184,4e-06,4e-06,True
