"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045815","transcription initiation-coupled chromatin remodeling","4/10","52/18986",0.0769230769230769,146.046153846154,24.043055975619,1.0377340322205e-08,8.80442646814791e-06,2.67967242430599e-06,"ARID1A/TP53/EP300/SMARCA4",4
"GO:0141137","positive regulation of gene expression, epigenetic","4/10","56/18986",0.0714285714285714,135.614285714286,23.1586277793814,1.40645790226005e-08,8.80442646814791e-06,2.67967242430599e-06,"ARID1A/TP53/EP300/SMARCA4",4
"GO:1903706","regulation of hemopoiesis","6/10","433/18986",0.0138568129330254,26.308545034642,12.2294526382254,2.64224271635883e-08,1.10269596029375e-05,3.35611180112946e-06,"NF1/ARID1A/ACVR2A/EP300/BRAF/SMARCA4",6
"GO:0043523","regulation of neuron apoptotic process","5/10","254/18986",0.0196850393700787,37.3740157480315,13.397352957271,9.83046929625364e-08,3.07693688972739e-05,9.36481548748373e-06,"NF1/TP53/KRAS/BRAF/PIK3CA",5
"GO:0007611","learning or memory","5/10","282/18986",0.0177304964539007,33.6631205673759,12.6858025107454,1.65451627634361e-07,4.14290875596439e-05,1.26091556218186e-05,"PTEN/NF1/KRAS/EP300/BRAF",5
"GO:0040029","epigenetic regulation of gene expression","5/10","295/18986",0.0169491525423729,32.1796610169492,12.3899368661361,2.06998946882274e-07,4.31937802494344e-05,1.31462489072602e-05,"ARID1A/TP53/EP300/PIK3CA/SMARCA4",5
"GO:0051402","neuron apoptotic process","5/10","307/18986",0.0162866449511401,30.9218241042345,12.1334249217714,2.52332833220063e-07,4.45345787337773e-05,1.35543278137106e-05,"NF1/TP53/KRAS/BRAF/PIK3CA",5
"GO:0030217","T cell differentiation","5/10","320/18986",0.015625,29.665625,11.8717225552685,3.09997044494921e-07,4.45345787337773e-05,1.35543278137106e-05,"ARID1A/TP53/EP300/BRAF/SMARCA4",5
"GO:0009416","response to light stimulus","5/10","326/18986",0.0153374233128834,29.1196319018405,11.7561623920672,3.39913633987093e-07,4.45345787337773e-05,1.35543278137106e-05,"NF1/TP53/KRAS/EP300/BRAF",5
"GO:0050890","cognition","5/10","329/18986",0.0151975683890578,28.854103343465,11.6995508857772,3.5570749787362e-07,4.45345787337773e-05,1.35543278137106e-05,"PTEN/NF1/KRAS/EP300/BRAF",5
"GO:1902105","regulation of leukocyte differentiation","5/10","337/18986",0.0148367952522255,28.1691394658754,11.5522352416781,4.00688308221733e-07,4.56056147176008e-05,1.38803031173461e-05,"NF1/ARID1A/EP300/BRAF/SMARCA4",5
"GO:0050767","regulation of neurogenesis","5/10","383/18986",0.0130548302872063,24.7859007832898,10.7951942590592,7.54683520925289e-07,7.87386473498718e-05,2.39645118048206e-05,"PTEN/NF1/TP53/KRAS/BRAF",5
"GO:0050863","regulation of T cell activation","5/10","393/18986",0.0127226463104326,24.1552162849873,10.6481300663137,8.57149787952476e-07,8.25501180397308e-05,2.51245524889714e-05,"ARID1A/EP300/BRAF/PIK3CA/SMARCA4",5
"GO:0002360","T cell lineage commitment","3/10","41/18986",0.0731707317073171,138.921951219512,20.2946226698316,1.10991850091776e-06,9.35060875110717e-05,2.845905807887e-05,"TP53/EP300/BRAF",3
"GO:0006367","transcription initiation at RNA polymerase II promoter","4/10","167/18986",0.0239520958083832,45.4754491017964,13.252056276972,1.16365307004622e-06,9.35060875110717e-05,2.845905807887e-05,"ARID1A/TP53/EP300/SMARCA4",4
