"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05418","Fluid shear stress and atherosclerosis",3,0.828602512965546,1.87296057178157,0.048951048951049,0.814458269003724,0.814458269003724,2,"tags=67%, list=20%, signal=76%","7157/92"
"hsa05200","Pathways in cancer",6,0.641100915437558,1.4542230289266,0.232767232767233,0.814458269003724,0.814458269003724,6,"tags=83%, list=60%, signal=83%","7157/2033/5728/673/3845"
"hsa05215","Prostate cancer",6,0.641100915437558,1.4542230289266,0.232767232767233,0.814458269003724,0.814458269003724,6,"tags=83%, list=60%, signal=83%","7157/2033/5728/673/3845"
"hsa04720","Long-term potentiation",3,0.571428571428571,1.29164848902611,0.340659340659341,0.814458269003724,0.814458269003724,6,"tags=100%, list=60%, signal=57%","2033/673/3845"
"hsa05216","Thyroid cancer",3,0.571428571428571,1.29164848902611,0.340659340659341,0.814458269003724,0.814458269003724,6,"tags=100%, list=60%, signal=57%","7157/673/3845"
"hsa05219","Bladder cancer",3,0.571428571428571,1.29164848902611,0.340659340659341,0.814458269003724,0.814458269003724,6,"tags=100%, list=60%, signal=57%","7157/673/3845"
"hsa04210","Apoptosis",3,0.55211818316911,1.24799957984489,0.370629370629371,0.814458269003724,0.814458269003724,1,"tags=33%, list=10%, signal=43%","7157"
"hsa04211","Longevity regulating pathway",3,0.55211818316911,1.24799957984489,0.370629370629371,0.814458269003724,0.814458269003724,1,"tags=33%, list=10%, signal=43%","7157"
"hsa05163","Human cytomegalovirus infection",3,0.55211818316911,1.24799957984489,0.370629370629371,0.814458269003724,0.814458269003724,1,"tags=33%, list=10%, signal=43%","7157"
"hsa05417","Lipid and atherosclerosis",3,0.55211818316911,1.24799957984489,0.370629370629371,0.814458269003724,0.814458269003724,1,"tags=33%, list=10%, signal=43%","7157"
"hsa05165","Human papillomavirus infection",5,0.524595787364903,1.23507163617748,0.332667332667333,0.814458269003724,0.814458269003724,4,"tags=60%, list=40%, signal=72%","7157/2033/5728"
"hsa05166","Human T-cell leukemia virus 1 infection",5,0.524595787364903,1.23507163617748,0.332667332667333,0.814458269003724,0.814458269003724,4,"tags=60%, list=40%, signal=72%","7157/2033/5728"
"hsa05206","MicroRNAs in cancer",5,0.524595787364903,1.23507163617748,0.332667332667333,0.814458269003724,0.814458269003724,4,"tags=60%, list=40%, signal=72%","7157/2033/5728"
"hsa05222","Small cell lung cancer",3,0.520484413589853,1.17649508615621,0.42957042957043,0.814458269003724,0.814458269003724,4,"tags=67%, list=40%, signal=57%","7157/5728"
"hsa04919","Thyroid hormone signaling pathway",4,0.493040437288757,1.14547416880777,0.410589410589411,0.814458269003724,0.814458269003724,3,"tags=50%, list=30%, signal=58%","7157/2033"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",4,0.493040437288757,1.14547416880777,0.410589410589411,0.814458269003724,0.814458269003724,3,"tags=50%, list=30%, signal=58%","7157/2033"
"hsa05203","Viral carcinogenesis",4,0.493040437288757,1.14547416880777,0.410589410589411,0.814458269003724,0.814458269003724,3,"tags=50%, list=30%, signal=58%","7157/2033"
"hsa05161","Hepatitis B",5,0.469904577918143,1.10631047727601,0.398601398601399,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","7157/2033/673/3845"
"hsa05213","Endometrial cancer",5,0.469407808426721,1.10514091792507,0.406593406593407,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","7157/5728/673/3845"
"hsa05214","Glioma",5,0.469407808426721,1.10514091792507,0.406593406593407,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","7157/5728/673/3845"
"hsa05218","Melanoma",5,0.469407808426721,1.10514091792507,0.406593406593407,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","7157/5728/673/3845"
"hsa05224","Breast cancer",5,0.469407808426721,1.10514091792507,0.406593406593407,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","7157/5728/673/3845"
"hsa04068","FoxO signaling pathway",5,0.446603125550444,1.0514511673192,0.41958041958042,0.814458269003724,0.814458269003724,6,"tags=80%, list=60%, signal=64%","2033/5728/673/3845"
"hsa04010","MAPK signaling pathway",4,0.443688793037848,1.03081616227899,0.535464535464535,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa01522","Endocrine resistance",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa04722","Neurotrophin signaling pathway",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05160","Hepatitis C",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05205","Proteoglycans in cancer",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05210","Colorectal cancer",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05212","Pancreatic cancer",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05220","Chronic myeloid leukemia",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
"hsa05223","Non-small cell lung cancer",4,0.432341501259936,1.00445315301144,0.554445554445554,0.814458269003724,0.814458269003724,1,"tags=25%, list=10%, signal=38%","7157"
