"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","7/10","170/8546",0.0411764705882353,35.1894117647059,15.4108497201799,1.24383811087795e-10,1.7538117363379e-08,5.36814342589429e-09,"5728/8289/7157/3845/673/5290/6597",7
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","6/10","98/8546",0.0612244897959184,52.3224489795918,17.4892943541445,3.94361690999015e-10,2.78024992154306e-08,8.50991017418927e-09,"5728/7157/3845/2033/673/5290",6
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","5/10","59/8546",0.0847457627118644,72.4237288135593,18.8417073781181,3.23839662827164e-09,1.52204641528767e-07,4.65874602663639e-08,"5728/7157/3845/673/5290",5
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","5/10","73/8546",0.0684931506849315,58.5342465753425,16.896551931305,9.64945644655004e-09,3.34205419022128e-07,1.0229505173503e-07,"5728/7157/3845/673/5290",5
"Human Diseases","Cancer: specific types","hsa05214","Glioma","5/10","76/8546",0.0657894736842105,56.2236842105263,16.5508117200404,1.18512559936925e-08,3.34205419022128e-07,1.0229505173503e-07,"5728/7157/3845/673/5290",5
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","5/10","80/8546",0.0625,53.4125,16.120168132412,1.53909501252947e-08,3.61687327944425e-07,1.10706834234576e-07,"5728/4763/3845/673/5290",5
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","5/10","133/8546",0.037593984962406,32.1278195488722,12.3830579833003,2.00469775395036e-07,4.03803404724287e-06,1.23597906634533e-06,"5728/3845/2033/673/5290",5
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","5/10","148/8546",0.0337837837837838,28.8716216216216,11.7066865556889,3.42188295861305e-07,6.03106871455551e-06,1.8460158066202e-06,"5728/7157/3845/673/5290",5
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","5/10","163/8546",0.0306748466257669,26.2147239263804,11.1244133329955,5.53895616051741e-07,8.67769798481061e-06,2.65610763252882e-06,"7157/3845/2033/673/5290",5
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","4/10","70/8546",0.0571428571428571,48.8342857142857,13.7537672148399,8.35320821466924e-07,1.13401283965802e-05,3.47103594072258e-06,"3845/2033/673/5290",4
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","4/10","71/8546",0.0563380281690141,48.1464788732394,13.6532931264078,8.84690867818316e-07,1.13401283965802e-05,3.47103594072258e-06,"5728/7157/3845/5290",4
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","4/10","73/8546",0.0547945205479452,46.827397260274,13.4585059121399,9.89915730700984e-07,1.16315098357366e-05,3.56022324199477e-06,"7157/3845/673/5290",4
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","4/10","77/8546",0.051948051948052,44.3948051948052,13.0916947187808,1.22801089309019e-06,1.23678239946941e-05,3.78559748997728e-06,"7157/3845/673/5290",4
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","4/10","77/8546",0.051948051948052,44.3948051948052,13.0916947187808,1.22801089309019e-06,1.23678239946941e-05,3.78559748997728e-06,"7157/3845/673/5290",4
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/10","87/8546",0.0459770114942529,39.2919540229885,12.2867344741561,2.00847142261651e-06,1.88796313725951e-05,5.77875988261591e-06,"7157/3845/673/5290",4
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/10","224/8546",0.0223214285714286,19.0758928571429,9.38293574361909,2.67894175619745e-06,2.360817422649e-05,7.22609289500627e-06,"5728/7157/3845/2033/5290",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/10","99/8546",0.0404040404040404,34.5292929292929,11.4846978955917,3.37369147273152e-06,2.79817939797144e-05,8.56478949733699e-06,"7157/3845/673/5290",4
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","4/10","120/8546",0.0333333333333333,28.4866666666667,10.3784094779598,7.27496341668243e-06,5.4777827795628e-05,1.67666363540183e-05,"7157/3845/673/5290",4
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","4/10","122/8546",0.0327868852459016,28.0196721311475,10.2879688675458,7.76990465186213e-06,5.4777827795628e-05,1.67666363540183e-05,"5728/7157/3845/5290",4
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/10","122/8546",0.0327868852459016,28.0196721311475,10.2879688675458,7.76990465186213e-06,5.4777827795628e-05,1.67666363540183e-05,"7157/3845/2033/5290",4
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","3/10","37/8546",0.0810810810810811,69.2918918918919,14.2481859600024,8.78076543193655e-06,5.89565679001454e-05,1.80456833438295e-05,"7157/3845/673",3
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/10","41/8546",0.0731707317073171,62.5317073170732,13.5170700763883,1.20170724419659e-05,7.70185097416905e-05,2.35741612497895e-05,"7157/3845/673",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","5/10","312/8546",0.016025641025641,13.6955128205128,7.81899516153351,1.36128356159627e-05,8.34526009500322e-05,2.55435359384197e-05,"5728/7157/3845/2033/5290",5
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","4/10","150/8546",0.0266666666666667,22.7893333333333,9.21472094316852,1.76399279220148e-05,0.000103634576541837,3.17209230176581e-05,"7157/3845/673/5290",4
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","5/10","333/8546",0.015015015015015,12.8318318318318,7.53792867855382,1.86942466440101e-05,0.000105435551072217,3.22721731538701e-05,"5728/7157/3845/2033/5290",5
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","4/10","157/8546",0.0254777070063694,21.7732484076433,8.99141356591571,2.11246318084549e-05,0.000111829971527244,3.42294052453677e-05,"5728/7157/3845/5290",4
