"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","7/10","464/11146",0.0150862068965517,16.8150862068966,10.4274878456578,2.23067970446639e-08,8.03044693607902e-06,2.44200725541584e-06,"PTEN/NF1/TP53/KRAS/EP300/BRAF/PIK3CA",7
"R-HSA-187037","Signaling by NTRK1 (TRKA)","4/10","115/11146",0.0347826086956522,38.7686956521739,12.199692658318,2.15297513030737e-06,0.00032675155276254,9.93630452845151e-05,"KRAS/EP300/BRAF/PIK3CA",4
"R-HSA-166520","Signaling by NTRKs","4/10","134/11146",0.0298507462686567,33.2716417910448,11.2620067526904,3.96608137992305e-06,0.00032675155276254,9.93630452845151e-05,"KRAS/EP300/BRAF/PIK3CA",4
"R-HSA-8939243","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","3/10","38/11146",0.0789473684210526,87.9947368421053,16.0969007671707,4.31579355685423e-06,0.00032675155276254,9.93630452845151e-05,"ARID1A/EP300/SMARCA4",3
"R-HSA-5654741","Signaling by FGFR3","3/10","40/11146",0.075,83.595,15.6812379121226,5.04976444190294e-06,0.00032675155276254,9.93630452845151e-05,"KRAS/BRAF/PIK3CA",3
"R-HSA-5654743","Signaling by FGFR4","3/10","41/11146",0.0731707317073171,81.5560975609756,15.4848317675628,5.445859212709e-06,0.00032675155276254,9.93630452845151e-05,"KRAS/BRAF/PIK3CA",3
"R-HSA-5654736","Signaling by FGFR1","3/10","52/11146",0.0576923076923077,64.3038461538462,13.71081003208,1.12317198382241e-05,0.000577631305965813,0.000175653964387265,"KRAS/BRAF/PIK3CA",3
"R-HSA-5654738","Signaling by FGFR2","3/10","73/11146",0.0410958904109589,45.8054794520548,11.5089402223877,3.12974004633087e-05,0.00140838302084889,0.000428280216866329,"KRAS/BRAF/PIK3CA",3
"R-HSA-5655291","Signaling by FGFR4 in disease","2/10","11/11146",0.181818181818182,202.654545454545,20.0509370244206,3.96766474988296e-05,0.00143096475943228,0.000435147178306891,"KRAS/PIK3CA",2
"R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","2/10","12/11146",0.166666666666667,185.766666666667,19.1895178837927,4.75891891841446e-05,0.00143096475943228,0.000435147178306891,"KRAS/PIK3CA",2
"R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","2/10","12/11146",0.166666666666667,185.766666666667,19.1895178837927,4.75891891841446e-05,0.00143096475943228,0.000435147178306891,"KRAS/PIK3CA",2
"R-HSA-6802957","Oncogenic MAPK signaling","3/10","84/11146",0.0357142857142857,39.8071428571429,10.6981802424645,4.76988253144092e-05,0.00143096475943228,0.000435147178306891,"NF1/KRAS/BRAF",3
"R-HSA-190236","Signaling by FGFR","3/10","89/11146",0.0337078651685393,37.5707865168539,10.3797304252201,5.67154840881666e-05,0.0014804616711688,0.000450198870764781,"KRAS/BRAF/PIK3CA",3
"R-HSA-8878159","Transcriptional regulation by RUNX3","3/10","96/11146",0.03125,34.83125,9.97580490692499,7.11204706967956e-05,0.0014804616711688,0.000450198870764781,"TP53/KRAS/EP300",3
"R-HSA-5673001","RAF/MAP kinase cascade","4/10","280/11146",0.0142857142857143,15.9228571428571,7.57829613512069,7.26455177821055e-05,0.0014804616711688,0.000450198870764781,"NF1/KRAS/BRAF/PIK3CA",4
"R-HSA-5637810","Constitutive Signaling by EGFRvIII","2/10","15/11146",0.133333333333333,148.613333333333,17.1427128609641,7.56014161703849e-05,0.0014804616711688,0.000450198870764781,"KRAS/PIK3CA",2
"R-HSA-5637812","Signaling by EGFRvIII in Cancer","2/10","15/11146",0.133333333333333,148.613333333333,17.1427128609641,7.56014161703849e-05,0.0014804616711688,0.000450198870764781,"KRAS/PIK3CA",2
"R-HSA-9819196","Zygotic genome activation (ZGA)","2/10","15/11146",0.133333333333333,148.613333333333,17.1427128609641,7.56014161703849e-05,0.0014804616711688,0.000450198870764781,"TP53/EP300",2
"R-HSA-5684996","MAPK1/MAPK3 signaling","4/10","286/11146",0.013986013986014,15.5888111888112,7.48968293432908,7.89036297256177e-05,0.0014804616711688,0.000450198870764781,"NF1/KRAS/BRAF/PIK3CA",4
"R-HSA-9665348","Signaling by ERBB2 ECD mutants","2/10","16/11146",0.125,139.325,16.5916093360373,8.63602641515133e-05,0.0014804616711688,0.000450198870764781,"KRAS/PIK3CA",2
"R-HSA-9703648","Signaling by FLT3 ITD and TKD mutants","2/10","16/11146",0.125,139.325,16.5916093360373,8.63602641515133e-05,0.0014804616711688,0.000450198870764781,"KRAS/PIK3CA",2
"R-HSA-9034015","Signaling by NTRK3 (TRKC)","2/10","17/11146",0.117647058823529,131.129411764706,16.0896753564545,9.7828119892381e-05,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-210993","Tie2 Signaling","2/10","18/11146",0.111111111111111,123.844444444444,15.6299878322084,0.000110003957809091,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-6804114","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest","2/10","18/11146",0.111111111111111,123.844444444444,15.6299878322084,0.000110003957809091,0.00153534918017393,0.000466889809175697,"TP53/EP300",2
"R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","2/10","19/11146",0.105263157894737,117.326315789474,15.2069162926024,0.000122886753287423,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-5637815","Signaling by Ligand-Responsive EGFR Variants in Cancer","2/10","19/11146",0.105263157894737,117.326315789474,15.2069162926024,0.000122886753287423,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-6804760","Regulation of TP53 Activity through Methylation","2/10","19/11146",0.105263157894737,117.326315789474,15.2069162926024,0.000122886753287423,0.00153534918017393,0.000466889809175697,"TP53/EP300",2
"R-HSA-9703465","Signaling by FLT3 fusion proteins","2/10","19/11146",0.105263157894737,117.326315789474,15.2069162926024,0.000122886753287423,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-5683057","MAPK family signaling cascades","4/10","325/11146",0.0123076923076923,13.7181538461538,6.97280438051136,0.00012967133837629,0.00153534918017393,0.000466889809175697,"NF1/KRAS/BRAF/PIK3CA",4
"R-HSA-9669938","Signaling by KIT in disease","2/10","20/11146",0.1,111.46,14.815828226492,0.000136475482682127,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-9670439","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","2/10","20/11146",0.1,111.46,14.815828226492,0.000136475482682127,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-9671555","Signaling by PDGFR in disease","2/10","20/11146",0.1,111.46,14.815828226492,0.000136475482682127,0.00153534918017393,0.000466889809175697,"KRAS/PIK3CA",2
"R-HSA-5621575","CD209 (DC-SIGN) signaling","2/10","21/11146",0.0952380952380952,106.152380952381,14.4528725724976,0.000150769123316234,0.00164475407254074,0.000500159133170282,"KRAS/EP300",2
"R-HSA-5655332","Signaling by FGFR3 in disease","2/10","22/11146",0.0909090909090909,101.327272727273,14.1148179877043,0.000165766653480354,0.00175517633096846,0.00053373783163953,"KRAS/PIK3CA",2
"R-HSA-1643713","Signaling by EGFR in Cancer","2/10","25/11146",0.08,89.168,13.2246594909118,0.000214972378557974,0.00198436041745822,0.00060343123805747,"KRAS/PIK3CA",2
"R-HSA-5654708","Downstream signaling of activated FGFR3","2/10","25/11146",0.08,89.168,13.2246594909118,0.000214972378557974,0.00198436041745822,0.00060343123805747,"KRAS/PIK3CA",2
"R-HSA-9006115","Signaling by NTRK2 (TRKB)","2/10","25/11146",0.08,89.168,13.2246594909118,0.000214972378557974,0.00198436041745822,0.00060343123805747,"KRAS/PIK3CA",2
"R-HSA-9006335","Signaling by Erythropoietin","2/10","25/11146",0.08,89.168,13.2246594909118,0.000214972378557974,0.00198436041745822,0.00060343123805747,"KRAS/PIK3CA",2
"R-HSA-9664565","Signaling by ERBB2 KD Mutants","2/10","25/11146",0.08,89.168,13.2246594909118,0.000214972378557974,0.00198436041745822,0.00060343123805747,"KRAS/PIK3CA",2
"R-HSA-1227990","Signaling by ERBB2 in Cancer","2/10","26/11146",0.0769230769230769,85.7384615384616,12.9625451047256,0.00023277526907548,0.00209497742167932,0.000637069157469735,"KRAS/PIK3CA",2
"R-HSA-5654716","Downstream signaling of activated FGFR4","2/10","27/11146",0.0740740740740741,82.562962962963,12.7150313815682,0.000251276955065387,0.00220633423959852,0.000670932049468555,"KRAS/PIK3CA",2
"R-HSA-9682385","FLT3 signaling in disease","2/10","28/11146",0.0714285714285714,79.6142857142857,12.4808044557749,0.000270476420609166,0.00231836931950714,0.000705001196575271,"KRAS/PIK3CA",2
"R-HSA-186763","Downstream signal transduction","2/10","29/11146",0.0689655172413793,76.8689655172414,12.2587103563798,0.00029037265075101,0.00238185675189284,0.000724307316365074,"KRAS/PIK3CA",2
"R-HSA-201556","Signaling by ALK","2/10","30/11146",0.0666666666666667,74.3066666666667,12.0477308223879,0.000310964631497121,0.00238185675189284,0.000724307316365074,"EP300/PIK3CA",2
"R-HSA-2424491","DAP12 signaling","2/10","30/11146",0.0666666666666667,74.3066666666667,12.0477308223879,0.000310964631497121,0.00238185675189284,0.000724307316365074,"KRAS/PIK3CA",2
"R-HSA-5654696","Downstream signaling of activated FGFR2","2/10","30/11146",0.0666666666666667,74.3066666666667,12.0477308223879,0.000310964631497121,0.00238185675189284,0.000724307316365074,"KRAS/PIK3CA",2
"R-HSA-6804758","Regulation of TP53 Activity through Acetylation","2/10","30/11146",0.0666666666666667,74.3066666666667,12.0477308223879,0.000310964631497121,0.00238185675189284,0.000724307316365074,"TP53/EP300",2
"R-HSA-5654687","Downstream signaling of activated FGFR1","2/10","31/11146",0.0645161290322581,71.9096774193548,11.8469634442467,0.000332251349815029,0.00244103032517164,0.00074230161935044,"KRAS/PIK3CA",2
"R-HSA-9680350","Signaling by CSF1 (M-CSF) in myeloid cells","2/10","31/11146",0.0645161290322581,71.9096774193548,11.8469634442467,0.000332251349815029,0.00244103032517164,0.00074230161935044,"KRAS/PIK3CA",2
