"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","2/6","144/4384",0.0138888888888889,10.1481481481481,4.1319493453923,0.014735228500013,0.178819074286632,0.144792772701727,"5728/92",2
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","2/6","200/4384",0.01,7.30666666666667,3.37942271706172,0.027510626813328,0.178819074286632,0.144792772701727,"5728/4763",2
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","1/6","36/4384",0.0277777777777778,20.2962962962963,4.30332279210803,0.0482965885202338,0.182499676674215,0.147773017549972,"4763",1
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","1/6","42/4384",0.0238095238095238,17.3968253968254,3.952419102367,0.0561537466689893,0.182499676674215,0.147773017549972,"7157",1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","1/6","105/4384",0.00952380952380952,6.95873015873016,2.28770861177382,0.13544236155942,0.244463080396523,0.197945814086254,"5728",1
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","1/6","135/4384",0.00740740740740741,5.41234567901235,1.92759827906394,0.171199772592633,0.244463080396523,0.197945814086254,"673",1
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","1/6","150/4384",0.00666666666666667,4.87111111111111,1.78578561995671,0.188610915683734,0.244463080396523,0.197945814086254,"7157",1
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","1/6","199/4384",0.0050251256281407,3.67169179229481,1.42786992168143,0.243378318128608,0.244463080396523,0.197945814086254,"4763",1
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","1/6","200/4384",0.005,3.65333333333333,1.42178672451434,0.244463080396523,0.244463080396523,0.197945814086254,"92",1
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","1/6","200/4384",0.005,3.65333333333333,1.42178672451434,0.244463080396523,0.244463080396523,0.197945814086254,"5290",1
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","1/6","200/4384",0.005,3.65333333333333,1.42178672451434,0.244463080396523,0.244463080396523,0.197945814086254,"7157",1
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","1/6","200/4384",0.005,3.65333333333333,1.42178672451434,0.244463080396523,0.244463080396523,0.197945814086254,"92",1
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","1/6","200/4384",0.005,3.65333333333333,1.42178672451434,0.244463080396523,0.244463080396523,0.197945814086254,"7157",1
