CHEMBL_ID,TARGET_CHEMBL_ID,MECHANISM
CHEMBL19,CHEMBL2326,INHIBITOR
CHEMBL1201117,CHEMBL261,INHIBITOR
CHEMBL1200814,CHEMBL261,INHIBITOR
CHEMBL17,CHEMBL261,INHIBITOR
CHEMBL20,CHEMBL261,INHIBITOR
CHEMBL19,CHEMBL261,INHIBITOR
CHEMBL1450,CHEMBL1777,INHIBITOR
CHEMBL1200771,CHEMBL245,ANTAGONIST
CHEMBL1722209,CHEMBL245,ANTAGONIST
CHEMBL1240,CHEMBL245,ANTAGONIST
CHEMBL1200906,CHEMBL245,ANTAGONIST
CHEMBL1724,CHEMBL245,ANTAGONIST
CHEMBL1626570,CHEMBL245,ANTAGONIST
CHEMBL1200880,CHEMBL245,ANTAGONIST
CHEMBL1200479,CHEMBL245,ANTAGONIST
CHEMBL1768,CHEMBL245,AGONIST
CHEMBL1578,CHEMBL245,ANTAGONIST
CHEMBL2146146,CHEMBL245,ANTAGONIST
CHEMBL517712,CHEMBL245,ANTAGONIST
CHEMBL1200604,CHEMBL245,ANTAGONIST
CHEMBL1200803,CHEMBL245,ANTAGONIST
CHEMBL1200935,CHEMBL245,ANTAGONIST
CHEMBL551466,CHEMBL245,ANTAGONIST
CHEMBL1200764,CHEMBL245,AGONIST
CHEMBL3545181,CHEMBL245,ANTAGONIST
CHEMBL1201765,CHEMBL245,ANTAGONIST
CHEMBL1200473,CHEMBL245,ANTAGONIST
CHEMBL1184,CHEMBL245,AGONIST
CHEMBL14,CHEMBL245,AGONIST
CHEMBL550,CHEMBL245,AGONIST
CHEMBL1200330,CHEMBL245,AGONIST
CHEMBL2218917,CHEMBL245,AGONIST
CHEMBL1200950,CHEMBL245,ANTAGONIST
CHEMBL2134724,CHEMBL245,ANTAGONIST
CHEMBL1354199,CHEMBL245,ANTAGONIST
CHEMBL1231,CHEMBL245,ANTAGONIST
CHEMBL1133,CHEMBL245,ANTAGONIST
CHEMBL1200891,CHEMBL245,ANTAGONIST
CHEMBL1201027,CHEMBL245,ANTAGONIST
CHEMBL1200347,CHEMBL245,ANTAGONIST
CHEMBL3084748,CHEMBL245,ANTAGONIST
CHEMBL3989514,CHEMBL1781,INHIBITOR
CHEMBL1201421,CHEMBL1783,ANTAGONIST
CHEMBL1201825,CHEMBL1783,INHIBITOR
CHEMBL1742982,CHEMBL1783,INHIBITOR
CHEMBL1201583,CHEMBL1783,INHIBITOR
CHEMBL4084119,CHEMBL1784,AGONIST
CHEMBL414357,CHEMBL1784,AGONIST
CHEMBL1200826,CHEMBL1786,INHIBITOR
CHEMBL2103738,CHEMBL1786,INHIBITOR
CHEMBL1201528,CHEMBL1790,AGONIST
CHEMBL344159,CHEMBL1790,ANTAGONIST
CHEMBL1201108,CHEMBL1790,ANTAGONIST
CHEMBL5314380,CHEMBL1792,AGONIST
CHEMBL1201184,CHEMBL1792,AGONIST
CHEMBL525610,CHEMBL1793,AGONIST
CHEMBL1201549,CHEMBL1793,AGONIST
CHEMBL175247,CHEMBL1796,INHIBITOR
CHEMBL603,CHEMBL1798,ANTAGONIST
CHEMBL1200681,CHEMBL1798,ANTAGONIST
CHEMBL1201662,CHEMBL204,INHIBITOR
CHEMBL5314348,CHEMBL204,INHIBITOR
CHEMBL1201666,CHEMBL204,INHIBITOR
CHEMBL1615369,CHEMBL204,INHIBITOR
CHEMBL1166,CHEMBL204,INHIBITOR
CHEMBL2108791,CHEMBL1873,EXOGENOUS PROTEIN
