Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,FDR_BH,SIGNIFICANT
KEGG_2021_Human,Hepatocellular carcinoma,7/168,3.056378209501556e-13,4.0649830186370676e-11,0,0,287.3768115942029,8281.158137497157,PIK3CA;PTEN;KRAS;BRAF;ARID1A;TP53;SMARCA4,4.0649830186370696e-11,True
KEGG_2021_Human,Prostate cancer,6/97,2.299277761377969e-12,1.529019711316349e-10,0,0,328.0054945054945,8790.030991483773,PIK3CA;PTEN;EP300;KRAS;BRAF;TP53,1.5290197113163493e-10,True
KEGG_2021_Human,Endometrial cancer,5/58,4.283464838638463e-11,1.8990027451297188e-09,0,0,376.1698113207547,8980.555368542578,PIK3CA;PTEN;KRAS;BRAF;TP53,1.8990027451297188e-09,True
KEGG_2021_Human,Melanoma,5/72,1.3041740772112955e-10,4.276679892265764e-09,0,0,297.35820895522386,6767.9563876944985,PIK3CA;PTEN;KRAS;BRAF;TP53,4.276679892265764e-09,True
KEGG_2021_Human,Glioma,5/75,1.6077743955886332e-10,4.276679892265764e-09,0,0,284.57142857142856,6417.370305713303,PIK3CA;PTEN;KRAS;BRAF;TP53,4.276679892265764e-09,True
KEGG_2021_Human,FoxO signaling pathway,5/131,2.740149988179821e-09,6.07399914046527e-08,0,0,157.65079365079364,3108.1253105117053,PIK3CA;PTEN;EP300;KRAS;BRAF,6.07399914046527e-08,True
KEGG_2021_Human,Breast cancer,5/147,4.9005219348057205e-09,9.310991676130869e-08,0,0,139.77464788732394,2674.4375066030457,PIK3CA;PTEN;KRAS;BRAF;TP53,9.310991676130869e-08,True
KEGG_2021_Human,Hepatitis B,5/162,7.992071395688838e-09,1.3286818695332696e-07,0,0,126.3248407643312,2355.3033948784478,PIK3CA;EP300;KRAS;BRAF;TP53,1.3286818695332694e-07,True
KEGG_2021_Human,Renal cell carcinoma,4/69,2.6813848927103444e-08,3.774042861107354e-07,0,0,204.3589743589744,3562.8653393627737,PIK3CA;EP300;KRAS;BRAF,3.7740428611073554e-07,True
KEGG_2021_Human,Central carbon metabolism in cancer,4/70,2.8432117425891634e-08,3.774042861107354e-07,0,0,201.2525252525253,3496.9128482882647,PIK3CA;PTEN;KRAS;TP53,3.7740428611073554e-07,True
KEGG_2021_Human,Non-small cell lung cancer,4/72,3.188659785492986e-08,3.774042861107354e-07,0,0,195.31372549019608,3371.325849646561,PIK3CA;KRAS;BRAF;TP53,3.7740428611073554e-07,True
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,5/219,3.624210861243477e-08,3.774042861107354e-07,0,0,92.41121495327104,1583.2854278559964,PIK3CA;PTEN;EP300;KRAS;TP53,3.7740428611073554e-07,True
KEGG_2021_Human,Chronic myeloid leukemia,4/76,3.972676695902479e-08,3.774042861107354e-07,0,0,184.42592592592592,3142.8465850168946,PIK3CA;KRAS;BRAF;TP53,3.7740428611073554e-07,True
KEGG_2021_Human,Pancreatic cancer,4/76,3.972676695902479e-08,3.774042861107354e-07,0,0,184.42592592592592,3142.8465850168946,PIK3CA;KRAS;BRAF;TP53,3.7740428611073554e-07,True
KEGG_2021_Human,Pathways in cancer,6/531,6.531988987645266e-08,5.45278658307004e-07,0,0,55.614285714285714,920.0810329822548,PIK3CA;PTEN;EP300;KRAS;BRAF;TP53,5.45278658307004e-07,True
KEGG_2021_Human,Colorectal cancer,4/86,6.55974325782862e-08,5.45278658307004e-07,0,0,161.85365853658536,2677.0156950575056,PIK3CA;KRAS;BRAF;TP53,5.45278658307004e-07,True
KEGG_2021_Human,MicroRNAs in cancer,5/310,2.0482709512802666e-07,1.6024708030604438e-06,0,0,64.54098360655738,994.0021201692828,PIK3CA;PTEN;EP300;KRAS;TP53,1.602470803060444e-06,True
KEGG_2021_Human,Sphingolipid signaling pathway,4/119,2.433560050420416e-07,1.7034920352942909e-06,0,0,115.21739130434784,1754.6157445511976,PIK3CA;PTEN;KRAS;TP53,1.7034920352942915e-06,True
KEGG_2021_Human,Neurotrophin signaling pathway,4/119,2.433560050420416e-07,1.7034920352942909e-06,0,0,115.21739130434784,1754.6157445511976,PIK3CA;KRAS;BRAF;TP53,1.7034920352942915e-06,True
KEGG_2021_Human,Thyroid hormone signaling pathway,4/121,2.6022915972438545e-07,1.7305239121671631e-06,0,0,113.23646723646723,1716.8577088522925,PIK3CA;EP300;KRAS;TP53,1.7305239121671633e-06,True
KEGG_2021_Human,Human papillomavirus infection,5/331,2.835927731419972e-07,1.7960875632326483e-06,0,0,60.31901840490798,909.3530257401252,PIK3CA;PTEN;EP300;KRAS;TP53,1.796087563232649e-06,True
KEGG_2021_Human,Gastric cancer,4/149,6.000012116425609e-07,3.6272800522027543e-06,0,0,91.24137931034484,1307.1544894317235,PIK3CA;KRAS;BRAF;TP53,3.6272800522027547e-06,True
KEGG_2021_Human,mTOR signaling pathway,4/154,6.847683220727061e-07,3.7840084241589247e-06,0,0,88.17777777777778,1251.6117146372976,PIK3CA;PTEN;KRAS;BRAF,3.784008424158925e-06,True
KEGG_2021_Human,Thyroid cancer,3/37,6.931197528182282e-07,3.7840084241589247e-06,0,0,251.54621848739492,3567.4443303750186,KRAS;BRAF;TP53,3.784008424158925e-06,True
KEGG_2021_Human,Cellular senescence,4/156,7.210579986393557e-07,3.7840084241589247e-06,0,0,87.00877192982456,1230.525582126504,PIK3CA;PTEN;KRAS;TP53,3.784008424158925e-06,True
KEGG_2021_Human,Hepatitis C,4/157,7.397309701363312e-07,3.7840084241589247e-06,0,0,86.43572984749456,1220.2114065066128,PIK3CA;KRAS;BRAF;TP53,3.784008424158925e-06,True
KEGG_2021_Human,Bladder cancer,3/41,9.49926012263113e-07,4.679265171518297e-06,0,0,225.02255639097743,3120.3611776790444,KRAS;BRAF;TP53,4.679265171518298e-06,True
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,4/193,1.6868382802686084e-06,8.01248183127589e-06,0,0,69.8447971781305,928.4227659846208,PIK3CA;EP300;KRAS;TP53,8.01248183127589e-06,True
KEGG_2021_Human,Viral carcinogenesis,4/203,2.0627825204633733e-06,9.460347421435471e-06,0,0,66.30150753768844,867.983185686968,PIK3CA;EP300;KRAS;TP53,9.460347421435471e-06,True
KEGG_2021_Human,Proteoglycans in cancer,4/205,2.1448739650672594e-06,9.508941245131516e-06,0,0,65.63515754560531,856.6982839692051,PIK3CA;KRAS;BRAF;TP53,9.508941245131516e-06,True
KEGG_2021_Human,Acute myeloid leukemia,3/67,4.239876739569354e-06,1.7621987698835127e-05,0,0,133.43303571428572,1650.696930464365,PIK3CA;KRAS;BRAF,1.7621987698835127e-05,True
KEGG_2021_Human,Long-term potentiation,3/67,4.239876739569354e-06,1.7621987698835127e-05,0,0,133.43303571428572,1650.696930464365,EP300;KRAS;BRAF,1.7621987698835127e-05,True
KEGG_2021_Human,ErbB signaling pathway,3/85,8.70051624088592e-06,3.50501044563282e-05,0,0,104.04878048780488,1212.3897288846229,PIK3CA;KRAS;BRAF,3.505010445632821e-05,True
KEGG_2021_Human,MAPK signaling pathway,4/294,8.960177079061345e-06,3.50501044563282e-05,0,0,45.28735632183908,526.3622877869591,NF1;KRAS;BRAF;TP53,3.505010445632821e-05,True
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,3/89,9.993193903059505e-06,3.7974136831626114e-05,0,0,99.18936877076412,1142.027341805338,PIK3CA;PTEN;KRAS,3.797413683162612e-05,True
KEGG_2021_Human,Small cell lung cancer,3/92,1.1041849144481351e-05,4.079349822822277e-05,0,0,95.8314606741573,1093.8028542752036,PIK3CA;PTEN;TP53,4.079349822822277e-05,True
KEGG_2021_Human,Progesterone-mediated oocyte maturation,3/100,1.4187907246385926e-05,5.099977469646833e-05,0,0,87.89248895434463,981.1544503878058,PIK3CA;KRAS;BRAF,5.099977469646833e-05,True
KEGG_2021_Human,Longevity regulating pathway,3/102,1.5057411496568352e-05,5.270094023798923e-05,0,0,86.10822510822511,956.11475242349,PIK3CA;KRAS;TP53,5.270094023798923e-05,True
KEGG_2021_Human,PI3K-Akt signaling pathway,4/354,1.862676686241566e-05,6.35220510949047e-05,0,0,37.40952380952381,407.4237918592794,PIK3CA;PTEN;KRAS;TP53,6.35220510949047e-05,True
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",3/119,2.3905752658204e-05,7.948662758852831e-05,0,0,73.42610837438424,781.3559604663873,PIK3CA;EP300;KRAS,7.948662758852831e-05,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,3/131,3.186552229157929e-05,0.00010336864548244014,0,0,66.50223214285714,688.5631764907918,PIK3CA;KRAS;BRAF,0.00010336864548244014,True
KEGG_2021_Human,Autophagy,3/137,3.64270733871206e-05,0.00011266978512760556,0,0,63.50533049040512,649.037069792638,PIK3CA;PTEN;KRAS,0.00011266978512760559,True
KEGG_2021_Human,Insulin signaling pathway,3/137,3.64270733871206e-05,0.00011266978512760556,0,0,63.50533049040512,649.037069792638,PIK3CA;KRAS;BRAF,0.00011266978512760559,True
KEGG_2021_Human,Fluid shear stress and atherosclerosis,3/139,3.803793344412712e-05,0.00011497829881974789,0,0,62.56512605042017,636.7206985146604,PIK3CA;TP53;ACVR2A,0.00011497829881974789,True
KEGG_2021_Human,Apoptosis,3/142,4.054105659077452e-05,0.00011969680849507692,0,0,61.205549845837616,618.983682361981,PIK3CA;KRAS;TP53,0.00011969680849507695,True
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,3/143,4.139889617122962e-05,0.00011969680849507692,0,0,60.765306122448976,613.2590459674897,PIK3CA;KRAS;ACVR2A,0.00011969680849507695,True
