Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,FDR_BH,SIGNIFICANT
Reactome_2022,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,3/35,5.841496730619348e-07,0.0001549650626379611,0,0,267.29464285714283,3836.509036449223,EP300;ARID1A;SMARCA4,0.00015496506263796113,True
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,5/424,9.655144089592594e-07,0.0001549650626379611,0,0,46.70883054892602,646.9455531338489,PIK3CA;PTEN;NF1;EP300;BRAF,0.00015496506263796113,True
Reactome_2022,Signal Transduction R-HSA-162582,8/2465,1.882513560799934e-06,0.00020142895100559293,0,0,28.543752543752543,376.28951172607054,PIK3CA;PTEN;NF1;EP300;BRAF;TP53;ACVR2A;SMARCA4,0.00020142895100559296,True
Reactome_2022,PI5P Regulates TP53 Acetylation R-HSA-6811555,2/9,8.084763760961904e-06,0.0006488022918171928,0,0,713.6785714285714,8368.258989209586,EP300;TP53,0.0006488022918171928,True
Reactome_2022,Signaling By NTRK1 (TRKA) R-HSA-187037,3/114,2.102131901914944e-05,0.0013495686810293,0,0,76.75289575289575,826.6266489942866,PIK3CA;EP300;BRAF,0.0013495686810293941,True
Reactome_2022,Signaling By NTRKs R-HSA-166520,3/132,3.259800307621159e-05,0.0015368255024356,0,0,65.98338870431894,681.6915131619588,PIK3CA;EP300;BRAF,0.0015368255024356473,True
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,2/18,3.427837406961788e-05,0.0015368255024356,0,0,312.09375,3208.634562990342,EP300;TP53,0.0015368255024356473,True
Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,2/19,3.830094710119993e-05,0.0015368255024356,0,0,293.72058823529414,2987.1489367888853,EP300;TP53,0.0015368255024356473,True
Reactome_2022,Disease R-HSA-1643685,6/1736,6.551845018949391e-05,0.0023323485219496,0,0,15.832369942196532,152.51605004879178,PIK3CA;PTEN;NF1;EP300;BRAF;TP53,0.0023323485219496846,True
Reactome_2022,Signaling By ALK R-HSA-201556,2/26,7.265883245949173e-05,0.0023323485219496,0,0,207.97916666666663,1981.9864686095775,PIK3CA;EP300,0.0023323485219496846,True
Reactome_2022,Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,2/29,9.069521855500592e-05,0.0026466513778324,0,0,184.84259259259255,1720.5159460048703,EP300;TP53,0.0026466513778324458,True
Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,3/204,0.0001190266953984572,0.0031839641019087,0,0,42.19402985074627,381.2721211865671,EP300;ARID1A;SMARCA4,0.0031839641019087302,True
Reactome_2022,Generic Transcription Pathway R-HSA-212436,5/1190,0.0001448365288161249,0.0034855073792097,0,0,15.869198312236287,140.28220295135648,PTEN;EP300;ARID1A;TP53;SMARCA4,0.003485507379209785,True
Reactome_2022,Ovarian Tumor Domain Proteases R-HSA-5689896,2/39,0.00016508979842508767,0.0034855073792097,0,0,134.81756756756758,1174.129027010432,PTEN;TP53,0.003485507379209785,True
Reactome_2022,Signaling By FGFR3 R-HSA-5654741,2/39,0.00016508979842508767,0.0034855073792097,0,0,134.81756756756758,1174.129027010432,PIK3CA;BRAF,0.003485507379209785,True
Reactome_2022,Signaling By FGFR4 R-HSA-5654743,2/40,0.00017373245503849396,0.0034855073792097,0,0,131.26315789473685,1136.4756409312342,PIK3CA;BRAF,0.003485507379209785,True
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,3/238,0.0001877196379064523,0.0035445884569394,0,0,36.027355623100306,309.13492244651553,EP300;ARID1A;SMARCA4,0.003544588456939482,True
